13,"SELECT TOP # &&& + cast(p.objId as varchar(#)) +&&& + cast(p.objId as varchar(#)) + &&& as objID,  p.run, p.rerun, p.camcol, p.field, p.obj,  p.type, p.ra, p.dec, p.u,p.g, p.r, p.i, p.z,  p.Err_u, p.Err_g, p.Err_r, p.Err_i, p.Err_z  FROM fGetObjFromRect(#,#,#,#) n, PhotoPrimary p  WHERE n.objID=p.objID AND p.r between # AND #"
2019-03-02 05:49:00,1
2019-03-02 06:05:00,1
2019-03-02 07:41:00,1
2019-03-02 07:48:00,1
2019-03-02 07:50:00,1
2019-03-02 09:01:00,2
2019-03-02 09:02:00,1
2019-03-02 10:55:00,1
2019-03-02 12:19:00,1
2019-03-02 12:20:00,1
2019-03-02 12:21:00,2
