363,select objid from photoprimary where photoprimary.dec between -.# and .# and photoprimary.ra between # and #
2019-03-02 04:53:00,2
2019-03-02 04:54:00,1
2019-03-02 04:59:00,2
2019-03-02 05:02:00,1
2019-03-02 05:11:00,2
2019-03-02 05:12:00,1
2019-03-02 05:18:00,1
2019-03-02 05:22:00,2
2019-03-02 05:25:00,2
2019-03-02 05:26:00,1
2019-03-02 05:30:00,2
2019-03-02 05:31:00,1
2019-03-02 05:32:00,1
2019-03-02 05:33:00,1
2019-03-02 05:39:00,1
2019-03-02 05:40:00,2
2019-03-02 05:51:00,1
2019-03-02 06:00:00,1
2019-03-02 06:06:00,1
2019-03-02 06:17:00,1
2019-03-02 06:33:00,3
2019-03-02 06:34:00,2
2019-03-02 06:35:00,3
2019-03-02 06:36:00,2
2019-03-02 06:37:00,2
2019-03-02 06:38:00,3
2019-03-02 06:39:00,3
2019-03-02 06:40:00,1
2019-03-02 06:41:00,3
2019-03-02 06:42:00,1
2019-03-02 06:43:00,1
2019-03-02 06:44:00,1
2019-03-02 06:45:00,2
2019-03-02 06:46:00,1
2019-03-02 06:47:00,1
2019-03-02 06:48:00,1
2019-03-02 06:49:00,1
2019-03-02 06:50:00,1
2019-03-02 06:54:00,1
2019-03-02 06:56:00,1
2019-03-02 07:05:00,1
2019-03-02 07:06:00,2
2019-03-02 07:08:00,5
2019-03-02 07:09:00,4
2019-03-02 07:10:00,3
2019-03-02 07:11:00,2
2019-03-02 07:12:00,2
2019-03-02 07:13:00,1
2019-03-02 07:14:00,2
2019-03-02 07:15:00,1
2019-03-02 07:16:00,2
2019-03-02 07:17:00,1
2019-03-02 07:20:00,1
2019-03-02 07:23:00,2
2019-03-02 07:30:00,1
2019-03-02 07:31:00,1
2019-03-02 07:32:00,2
2019-03-02 07:35:00,3
2019-03-02 07:36:00,3
2019-03-02 07:37:00,3
2019-03-02 07:38:00,2
2019-03-02 07:39:00,5
2019-03-02 07:40:00,4
2019-03-02 07:41:00,2
2019-03-02 07:42:00,2
2019-03-02 07:43:00,3
2019-03-02 07:44:00,4
2019-03-02 07:53:00,2
2019-03-02 07:54:00,1
2019-03-02 07:55:00,1
2019-03-02 07:56:00,2
2019-03-02 07:57:00,1
2019-03-02 07:58:00,1
2019-03-02 07:59:00,1
2019-03-02 08:00:00,2
2019-03-02 08:02:00,2
2019-03-02 08:03:00,1
2019-03-02 08:04:00,3
2019-03-02 08:05:00,3
2019-03-02 08:06:00,1
2019-03-02 08:10:00,2
2019-03-02 08:11:00,3
2019-03-02 08:12:00,3
2019-03-02 08:13:00,1
2019-03-02 08:14:00,1
2019-03-02 08:15:00,1
2019-03-02 08:47:00,78
2019-03-02 08:48:00,51
2019-03-02 09:09:00,1
2019-03-02 17:35:00,1
2019-03-02 17:36:00,1
2019-03-02 17:37:00,1
2019-03-02 17:38:00,1
2019-03-02 17:39:00,2
2019-03-02 17:40:00,2
2019-03-02 17:41:00,1
2019-03-02 17:42:00,1
2019-03-02 17:44:00,2
2019-03-02 17:45:00,1
2019-03-02 17:46:00,3
2019-03-02 17:47:00,1
2019-03-02 17:48:00,1
2019-03-02 17:50:00,1
2019-03-02 17:51:00,1
2019-03-02 17:52:00,1
2019-03-02 17:53:00,2
2019-03-02 17:54:00,1
2019-03-02 17:55:00,1
2019-03-02 18:16:00,3
2019-03-02 18:17:00,1
2019-03-02 18:18:00,1
2019-03-02 18:19:00,1
2019-03-02 18:20:00,3
2019-03-02 18:21:00,4
2019-03-02 18:22:00,2
2019-03-02 18:23:00,2
2019-03-02 18:24:00,2
2019-03-02 18:25:00,2
2019-03-02 18:36:00,1
2019-03-02 18:40:00,1
2019-03-02 18:50:00,1
2019-03-02 18:51:00,1
2019-03-02 19:40:00,3
2019-03-02 19:41:00,1
2019-03-02 19:43:00,1
2019-03-02 19:44:00,1
2019-03-02 19:45:00,2
2019-03-02 19:46:00,3
2019-03-02 19:47:00,3
2019-03-02 19:48:00,4
2019-03-02 19:49:00,1
2019-03-02 19:50:00,2
2019-03-02 20:30:00,1
2019-03-02 20:47:00,1
2019-03-02 21:25:00,1
2019-03-02 21:27:00,1
2019-03-02 23:02:00,1
