107236,"SELECT TOP # s.ra, s.dec, s.specobjid, s.z, s.zErr, s.zWarning, s.sciencePrimary, s.class, s.subclass, p.type FROM ..SpecObj as s LEFT JOIN ..PhotoObj AS p ON s.bestObjID=p.objID JOIN dbo.fGetNearbySpecObjEq(#,#,#) AS b ON b.SpecobjID = S.SpecobjID"
2019-03-02 00:00:00,59
2019-03-02 00:01:00,64
2019-03-02 00:02:00,70
2019-03-02 00:03:00,54
2019-03-02 00:04:00,65
2019-03-02 00:05:00,73
2019-03-02 00:06:00,48
2019-03-02 00:07:00,92
2019-03-02 00:08:00,77
2019-03-02 00:09:00,67
2019-03-02 00:10:00,61
2019-03-02 00:11:00,60
2019-03-02 00:12:00,59
2019-03-02 00:13:00,67
2019-03-02 00:14:00,72
2019-03-02 00:15:00,62
2019-03-02 00:16:00,73
2019-03-02 00:17:00,68
2019-03-02 00:18:00,69
2019-03-02 00:19:00,71
2019-03-02 00:20:00,61
2019-03-02 00:21:00,77
2019-03-02 00:22:00,77
2019-03-02 00:23:00,67
2019-03-02 00:24:00,71
2019-03-02 00:25:00,77
2019-03-02 00:26:00,88
2019-03-02 00:27:00,72
2019-03-02 00:28:00,60
2019-03-02 00:29:00,65
2019-03-02 00:30:00,73
2019-03-02 00:31:00,75
2019-03-02 00:32:00,105
2019-03-02 00:33:00,129
2019-03-02 00:34:00,122
2019-03-02 00:35:00,101
2019-03-02 00:36:00,107
2019-03-02 00:37:00,75
2019-03-02 00:38:00,117
2019-03-02 00:39:00,99
2019-03-02 00:40:00,71
2019-03-02 00:41:00,161
2019-03-02 00:42:00,121
2019-03-02 00:43:00,76
2019-03-02 00:44:00,73
2019-03-02 00:45:00,86
2019-03-02 00:46:00,93
2019-03-02 00:47:00,71
2019-03-02 00:48:00,86
2019-03-02 00:49:00,93
2019-03-02 00:50:00,79
2019-03-02 00:51:00,96
2019-03-02 00:52:00,127
2019-03-02 00:53:00,118
2019-03-02 00:54:00,107
2019-03-02 00:55:00,114
2019-03-02 00:56:00,79
2019-03-02 00:57:00,113
2019-03-02 00:58:00,151
2019-03-02 00:59:00,97
2019-03-02 01:00:00,81
2019-03-02 01:01:00,62
2019-03-02 01:02:00,65
2019-03-02 01:03:00,69
2019-03-02 01:04:00,59
2019-03-02 01:05:00,66
2019-03-02 01:06:00,58
