246,select apstar_id from apogeestar where apogeestar.dec between # and # and apogeestar.ra between # and #
2019-03-02 01:22:00,4
2019-03-02 01:23:00,34
2019-03-02 01:24:00,6
2019-03-02 02:40:00,39
2019-03-02 02:41:00,1
2019-03-02 02:57:00,2
2019-03-02 04:21:00,15
2019-03-02 04:46:00,6
2019-03-02 06:27:00,1
2019-03-02 08:47:00,21
2019-03-02 09:14:00,2
2019-03-02 09:15:00,2
2019-03-02 09:17:00,63
2019-03-02 09:39:00,37
2019-03-02 17:12:00,1
2019-03-02 20:38:00,7
2019-03-02 22:45:00,1
2019-03-02 22:57:00,4
