546,select objid from photoprimary where photoprimary.dec between -.# and -.# and photoprimary.ra between # and #
2019-03-02 02:39:00,1
2019-03-02 03:46:00,2
2019-03-02 04:19:00,3
2019-03-02 04:21:00,1
2019-03-02 04:22:00,24
2019-03-02 04:33:00,5
2019-03-02 05:22:00,1
2019-03-02 05:28:00,2
2019-03-02 05:53:00,1
2019-03-02 06:12:00,1
2019-03-02 06:15:00,1
2019-03-02 06:19:00,1
2019-03-02 08:39:00,3
2019-03-02 08:46:00,9
2019-03-02 09:14:00,15
2019-03-02 09:39:00,6
2019-03-02 11:05:00,4
2019-03-02 12:57:00,1
2019-03-02 12:59:00,1
2019-03-02 13:00:00,4
2019-03-02 13:05:00,2
2019-03-02 13:07:00,4
2019-03-02 13:10:00,33
2019-03-02 13:11:00,20
2019-03-02 13:26:00,7
2019-03-02 13:27:00,1
2019-03-02 14:39:00,14
2019-03-02 16:09:00,3
2019-03-02 16:29:00,1
2019-03-02 16:44:00,2
2019-03-02 16:48:00,3
2019-03-02 17:12:00,21
2019-03-02 17:13:00,6
2019-03-02 20:16:00,221
2019-03-02 20:17:00,64
2019-03-02 20:30:00,1
2019-03-02 20:33:00,1
2019-03-02 20:34:00,2
2019-03-02 20:38:00,1
2019-03-02 21:27:00,1
2019-03-02 23:48:00,51
2019-03-02 23:50:00,1
