47,SELECT COUNT(*)
2019-03-02 10:29:00,2
2019-03-02 10:30:00,2
2019-03-02 10:31:00,2
2019-03-02 10:32:00,1
2019-03-02 10:33:00,1
2019-03-02 10:34:00,3
2019-03-02 10:35:00,3
2019-03-02 10:53:00,1
2019-03-02 10:54:00,1
2019-03-02 10:56:00,2
2019-03-02 11:02:00,1
2019-03-02 11:03:00,2
2019-03-02 11:13:00,1
2019-03-02 11:14:00,1
2019-03-02 11:18:00,1
2019-03-02 11:23:00,2
2019-03-02 11:24:00,4
2019-03-02 11:26:00,1
2019-03-02 11:27:00,1
2019-03-02 11:28:00,2
2019-03-02 11:29:00,3
2019-03-02 11:31:00,4
2019-03-02 11:32:00,2
2019-03-02 11:33:00,3
2019-03-02 18:47:00,1
