159,select objid from photoprimary where photoprimary.dec between # and -.# and photoprimary.ra between # and #
2019-03-02 03:27:00,4
2019-03-02 04:53:00,1
2019-03-02 04:54:00,1
2019-03-02 05:03:00,2
2019-03-02 05:12:00,1
2019-03-02 05:13:00,1
2019-03-02 05:26:00,1
2019-03-02 05:27:00,1
2019-03-02 05:28:00,1
2019-03-02 05:32:00,3
2019-03-02 05:39:00,2
2019-03-02 05:57:00,1
2019-03-02 05:58:00,1
2019-03-02 06:14:00,3
2019-03-02 06:19:00,1
2019-03-02 06:22:00,4
2019-03-02 06:23:00,1
2019-03-02 06:24:00,1
2019-03-02 06:25:00,2
2019-03-02 06:53:00,1
2019-03-02 06:58:00,5
2019-03-02 06:59:00,3
2019-03-02 07:00:00,5
2019-03-02 07:01:00,3
2019-03-02 07:02:00,4
2019-03-02 07:03:00,5
2019-03-02 07:04:00,4
2019-03-02 07:05:00,2
2019-03-02 07:06:00,3
2019-03-02 07:07:00,3
2019-03-02 07:08:00,1
2019-03-02 07:09:00,2
2019-03-02 07:10:00,1
2019-03-02 07:11:00,1
2019-03-02 07:12:00,1
2019-03-02 07:13:00,1
2019-03-02 07:14:00,1
2019-03-02 07:15:00,1
2019-03-02 07:16:00,1
2019-03-02 07:26:00,3
2019-03-02 07:27:00,2
2019-03-02 07:28:00,3
2019-03-02 07:29:00,2
2019-03-02 07:30:00,1
2019-03-02 07:35:00,1
2019-03-02 07:37:00,1
2019-03-02 07:38:00,2
2019-03-02 07:40:00,1
2019-03-02 07:41:00,2
2019-03-02 07:42:00,1
2019-03-02 07:45:00,3
2019-03-02 07:46:00,5
2019-03-02 07:47:00,4
2019-03-02 07:48:00,4
2019-03-02 07:49:00,1
2019-03-02 07:50:00,1
2019-03-02 07:51:00,1
2019-03-02 07:52:00,1
2019-03-02 16:45:00,1
2019-03-02 17:44:00,1
2019-03-02 17:45:00,2
2019-03-02 17:47:00,2
2019-03-02 17:48:00,2
2019-03-02 17:49:00,3
2019-03-02 17:50:00,2
2019-03-02 17:51:00,1
2019-03-02 17:52:00,1
2019-03-02 17:53:00,1
2019-03-02 17:54:00,1
2019-03-02 18:37:00,2
2019-03-02 18:38:00,1
2019-03-02 18:39:00,1
2019-03-02 18:41:00,1
2019-03-02 18:43:00,1
2019-03-02 18:45:00,3
2019-03-02 18:50:00,2
2019-03-02 18:51:00,4
2019-03-02 18:52:00,1
2019-03-02 18:53:00,2
2019-03-02 20:31:00,1
2019-03-02 22:50:00,1
2019-03-02 22:51:00,1
2019-03-02 22:59:00,1
2019-03-02 23:00:00,1
