436,"SELECT * FROM dbo.fFootprintEq( #,#,#)"
2019-07-09 18:06:00,2
2019-07-09 18:07:00,4
2019-07-09 18:08:00,2
2019-07-09 18:09:00,4
2019-07-09 18:10:00,2
2019-07-09 18:11:00,4
2019-07-09 18:12:00,4
2019-07-09 18:13:00,2
2019-07-09 18:14:00,4
2019-07-09 18:15:00,4
2019-07-09 18:16:00,4
2019-07-09 18:17:00,4
2019-07-09 18:18:00,2
2019-07-09 18:24:00,3
2019-07-09 18:25:00,1
2019-07-09 18:26:00,4
2019-07-09 18:27:00,3
2019-07-09 18:28:00,7
2019-07-09 18:29:00,4
2019-07-09 18:30:00,8
2019-07-09 18:31:00,6
2019-07-09 18:32:00,4
2019-07-09 18:33:00,8
2019-07-09 18:34:00,8
2019-07-09 18:35:00,5
2019-07-09 18:36:00,7
2019-07-09 18:37:00,8
2019-07-09 18:38:00,8
2019-07-09 18:39:00,8
2019-07-09 18:40:00,6
2019-07-09 18:41:00,8
2019-07-09 18:42:00,4
2019-07-09 18:43:00,8
2019-07-09 18:44:00,8
2019-07-09 18:45:00,6
2019-07-09 18:46:00,6
2019-07-09 18:47:00,4
2019-07-09 18:48:00,6
2019-07-09 18:49:00,6
2019-07-09 18:50:00,8
2019-07-09 18:51:00,7
2019-07-09 18:52:00,5
2019-07-09 18:53:00,4
2019-07-09 18:54:00,8
2019-07-09 18:55:00,8
2019-07-09 18:56:00,8
2019-07-09 18:57:00,8
2019-07-09 18:58:00,8
2019-07-09 18:59:00,4
2019-07-09 19:00:00,10
2019-07-09 19:01:00,8
2019-07-09 19:02:00,6
2019-07-09 19:03:00,6
2019-07-09 19:04:00,8
2019-07-09 19:05:00,6
2019-07-09 19:06:00,6
2019-07-09 19:07:00,8
2019-07-09 19:08:00,8
2019-07-09 19:09:00,5
2019-07-09 19:10:00,7
2019-07-09 19:11:00,6
2019-07-09 19:12:00,4
2019-07-09 19:13:00,3
2019-07-09 19:14:00,5
2019-07-09 19:15:00,4
2019-07-09 19:16:00,4
2019-07-09 19:17:00,3
2019-07-09 19:18:00,1
2019-07-09 19:19:00,1
2019-07-09 19:20:00,3
2019-07-09 19:21:00,4
2019-07-09 19:22:00,4
2019-07-09 19:23:00,4
2019-07-09 19:24:00,8
2019-07-09 19:25:00,4
2019-07-09 19:26:00,8
2019-07-09 19:27:00,4
2019-07-09 19:28:00,8
2019-07-09 19:29:00,4
2019-07-09 19:30:00,8
2019-07-09 19:31:00,4
