179,"SELECT aa_i,kk_i,airmass_i,gain_i,sky_i,skysig_i FROM Field where run=# AND rerun=# AND camcol=# AND field=#"
2019-07-09 04:54:00,1
2019-07-09 04:55:00,3
2019-07-09 04:56:00,4
2019-07-09 04:57:00,3
2019-07-09 04:58:00,4
2019-07-09 04:59:00,3
2019-07-09 05:00:00,4
2019-07-09 05:01:00,3
2019-07-09 05:02:00,4
2019-07-09 05:03:00,4
2019-07-09 05:04:00,3
2019-07-09 05:05:00,3
2019-07-09 05:06:00,4
2019-07-09 05:07:00,3
2019-07-09 05:08:00,3
2019-07-09 05:09:00,2
2019-07-09 05:10:00,3
2019-07-09 05:11:00,3
2019-07-09 05:12:00,2
2019-07-09 05:13:00,3
2019-07-09 05:14:00,3
2019-07-09 05:15:00,2
2019-07-09 05:16:00,3
2019-07-09 05:17:00,2
2019-07-09 05:18:00,3
2019-07-09 05:19:00,3
2019-07-09 05:20:00,3
2019-07-09 05:21:00,2
2019-07-09 05:22:00,3
2019-07-09 05:23:00,3
2019-07-09 05:24:00,3
2019-07-09 05:25:00,3
2019-07-09 05:26:00,3
2019-07-09 05:27:00,2
2019-07-09 05:28:00,3
2019-07-09 05:29:00,2
2019-07-09 05:30:00,2
2019-07-09 05:31:00,1
2019-07-09 05:32:00,2
2019-07-09 05:33:00,2
2019-07-09 05:34:00,3
2019-07-09 05:35:00,3
2019-07-09 05:36:00,2
2019-07-09 05:37:00,3
2019-07-09 05:38:00,3
2019-07-09 05:39:00,2
2019-07-09 05:40:00,3
2019-07-09 05:41:00,3
2019-07-09 05:42:00,3
2019-07-09 05:43:00,2
2019-07-09 05:44:00,4
2019-07-09 05:45:00,4
2019-07-09 05:46:00,3
2019-07-09 05:47:00,3
2019-07-09 05:48:00,3
2019-07-09 05:49:00,3
2019-07-09 05:50:00,3
2019-07-09 05:51:00,3
2019-07-09 05:52:00,3
2019-07-09 05:53:00,3
2019-07-09 05:54:00,4
2019-07-09 05:55:00,3
2019-07-09 05:56:00,1
