12970,"SELECT TOP # SP.objID, SP.ra, SP.dec, SP.type, SP.psfMag_r, SP.psfMagErr_r, SP.petroMag_r, SP.petroMagErr_r, SP.modelMag_r, SP.modelMagErr_r, S.specObjId, S.Z, S.zWarning FROM specObj as S JOIN SpecPhoto AS SP ON S.specObjId = SP.specObjID JOIN dbo.fGetNearbyObjEq(#,#, #) AS PN ON S.bestObjID = PN.objID ORDER BY distance"
2019-07-09 18:58:00,2
2019-07-09 19:01:00,2
2019-07-09 19:02:00,69
2019-07-09 19:03:00,195
2019-07-09 19:04:00,188
2019-07-09 19:05:00,187
2019-07-09 19:06:00,195
2019-07-09 19:07:00,189
2019-07-09 19:08:00,200
2019-07-09 19:09:00,186
2019-07-09 19:10:00,197
2019-07-09 19:11:00,201
2019-07-09 19:12:00,200
2019-07-09 19:13:00,205
2019-07-09 19:14:00,199
2019-07-09 19:15:00,194
2019-07-09 19:16:00,206
2019-07-09 19:17:00,193
2019-07-09 19:18:00,204
2019-07-09 19:19:00,194
2019-07-09 19:20:00,194
2019-07-09 19:21:00,176
2019-07-09 19:22:00,184
2019-07-09 19:23:00,202
2019-07-09 19:24:00,190
2019-07-09 19:25:00,194
2019-07-09 19:26:00,206
2019-07-09 19:27:00,190
2019-07-09 19:28:00,206
2019-07-09 19:29:00,189
2019-07-09 19:30:00,200
2019-07-09 19:31:00,195
2019-07-09 19:32:00,199
2019-07-09 19:33:00,203
2019-07-09 19:34:00,195
2019-07-09 19:35:00,164
2019-07-09 19:45:00,176
2019-07-09 19:46:00,216
2019-07-09 19:47:00,221
2019-07-09 19:48:00,196
2019-07-09 19:49:00,217
2019-07-09 19:50:00,215
2019-07-09 19:51:00,204
2019-07-09 19:52:00,224
2019-07-09 19:53:00,207
2019-07-09 19:54:00,217
2019-07-09 19:55:00,210
2019-07-09 19:56:00,165
2019-07-09 19:57:00,168
2019-07-09 19:58:00,165
2019-07-09 19:59:00,159
2019-07-09 20:00:00,206
2019-07-09 20:01:00,195
2019-07-09 20:02:00,191
2019-07-09 20:03:00,199
2019-07-09 20:04:00,191
2019-07-09 20:05:00,193
2019-07-09 20:06:00,174
2019-07-09 20:07:00,189
2019-07-09 20:08:00,176
2019-07-09 20:09:00,163
2019-07-09 20:10:00,177
2019-07-09 20:11:00,163
2019-07-09 20:12:00,109
2019-07-09 20:13:00,158
2019-07-09 20:14:00,158
2019-07-09 20:15:00,197
2019-07-09 20:16:00,180
2019-07-09 20:17:00,202
2019-07-09 20:18:00,188
2019-07-09 20:19:00,108
