445,"select plate, mjd, fiberID from dbo.fGetNearbySpecObjAllEq(#, #, #)"
2019-07-09 00:00:00,1
2019-07-09 00:20:00,4
2019-07-09 00:21:00,4
2019-07-09 00:22:00,3
2019-07-09 00:23:00,5
2019-07-09 00:24:00,4
2019-07-09 00:25:00,4
2019-07-09 00:26:00,4
2019-07-09 00:27:00,3
2019-07-09 00:28:00,3
2019-07-09 00:29:00,3
2019-07-09 00:30:00,4
2019-07-09 00:31:00,4
2019-07-09 00:32:00,3
2019-07-09 00:33:00,6
2019-07-09 00:34:00,4
2019-07-09 00:35:00,2
2019-07-09 00:36:00,4
2019-07-09 00:37:00,3
2019-07-09 00:38:00,3
2019-07-09 00:39:00,4
2019-07-09 00:40:00,4
2019-07-09 00:41:00,4
2019-07-09 00:42:00,3
2019-07-09 00:43:00,4
2019-07-09 00:44:00,3
2019-07-09 00:45:00,3
2019-07-09 00:46:00,3
2019-07-09 00:47:00,4
2019-07-09 00:48:00,4
2019-07-09 00:49:00,5
2019-07-09 00:50:00,5
2019-07-09 00:51:00,4
2019-07-09 00:52:00,8
2019-07-09 00:53:00,7
2019-07-09 00:54:00,7
2019-07-09 00:55:00,7
2019-07-09 00:56:00,4
2019-07-09 01:16:00,7
2019-07-09 01:17:00,9
2019-07-09 01:19:00,1
2019-07-09 01:20:00,7
2019-07-09 01:21:00,6
2019-07-09 01:22:00,7
2019-07-09 01:23:00,6
2019-07-09 01:24:00,4
2019-07-09 01:25:00,3
2019-07-09 01:26:00,5
2019-07-09 01:27:00,7
2019-07-09 01:28:00,5
2019-07-09 01:29:00,4
2019-07-09 01:30:00,5
2019-07-09 01:31:00,6
2019-07-09 01:32:00,5
2019-07-09 01:33:00,6
2019-07-09 01:34:00,4
2019-07-09 01:35:00,5
2019-07-09 01:36:00,6
2019-07-09 01:37:00,6
2019-07-09 01:38:00,7
2019-07-09 01:39:00,10
2019-07-09 01:40:00,9
2019-07-09 01:41:00,8
2019-07-09 01:42:00,4
2019-07-09 02:35:00,1
2019-07-09 02:36:00,1
2019-07-09 02:37:00,1
2019-07-09 02:40:00,1
2019-07-09 02:42:00,2
2019-07-09 02:43:00,4
2019-07-09 02:44:00,4
2019-07-09 02:45:00,5
2019-07-09 02:46:00,4
2019-07-09 02:47:00,5
2019-07-09 02:48:00,4
2019-07-09 02:49:00,3
2019-07-09 02:50:00,2
2019-07-09 02:51:00,4
2019-07-09 02:52:00,3
2019-07-09 02:53:00,6
2019-07-09 02:54:00,4
2019-07-09 02:55:00,2
2019-07-09 02:56:00,4
2019-07-09 02:57:00,4
2019-07-09 02:58:00,4
2019-07-09 02:59:00,3
2019-07-09 03:00:00,5
2019-07-09 03:01:00,4
2019-07-09 03:02:00,3
2019-07-09 03:03:00,2
2019-07-09 03:04:00,5
2019-07-09 03:05:00,4
2019-07-09 03:06:00,5
2019-07-09 03:07:00,4
2019-07-09 03:08:00,5
2019-07-09 03:09:00,6
2019-07-09 03:10:00,5
2019-07-09 03:11:00,6
2019-07-09 03:12:00,6
2019-07-09 03:13:00,5
2019-07-09 03:14:00,3
