14,"SELECT p.objId,p.ra,p.dec,p.petror9#_r, p.expAB_r,     p.dered_u as u, p.dered_g as g, p.dered_r as r, p.dered_i as i,      s.z, s.plate, s.mjd, s.fiberid FROM galaxy AS p    JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.petror9#_r > #   and p.ra between # and #   and s.z between # and #   and p.g < #"
2019-07-09 07:07:00,1
2019-07-09 07:08:00,1
2019-07-09 07:10:00,1
2019-07-09 07:14:00,1
2019-07-09 11:15:00,1
2019-07-09 11:25:00,1
2019-07-09 11:27:00,1
2019-07-09 11:28:00,1
2019-07-09 11:30:00,1
2019-07-09 11:37:00,2
2019-07-09 11:38:00,1
2019-07-09 11:40:00,1
2019-07-09 12:38:00,1
