137,"select plate, mjd, fiberId from dbo.SpecObjAll where specObjId = #"
2019-07-09 02:31:00,1
2019-07-09 02:40:00,1
2019-07-09 02:42:00,2
2019-07-09 02:43:00,4
2019-07-09 02:44:00,4
2019-07-09 02:45:00,4
2019-07-09 02:46:00,5
2019-07-09 02:47:00,4
2019-07-09 02:48:00,4
2019-07-09 02:49:00,3
2019-07-09 02:50:00,2
2019-07-09 02:51:00,5
2019-07-09 02:52:00,3
2019-07-09 02:53:00,5
2019-07-09 02:54:00,4
2019-07-09 02:55:00,3
2019-07-09 02:56:00,4
2019-07-09 02:57:00,3
2019-07-09 02:58:00,4
2019-07-09 02:59:00,4
2019-07-09 03:00:00,4
2019-07-09 03:01:00,4
2019-07-09 03:02:00,3
2019-07-09 03:03:00,3
2019-07-09 03:04:00,5
2019-07-09 03:05:00,3
2019-07-09 03:06:00,5
2019-07-09 03:07:00,5
2019-07-09 03:08:00,4
2019-07-09 03:09:00,6
2019-07-09 03:10:00,6
2019-07-09 03:11:00,6
2019-07-09 03:12:00,5
2019-07-09 03:13:00,5
2019-07-09 03:14:00,4
