1811,"SELECT DISTINCT p.ra, p.dec, p.clean, p.u, p.g, p.r, p.i, p.z FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-05-26 12:58:00,16
2019-05-26 13:03:00,1
2019-05-26 13:04:00,110
2019-05-26 13:07:00,11
2019-05-26 13:31:00,24
2019-05-26 13:32:00,18
2019-05-26 13:36:00,25
2019-05-26 13:39:00,12
2019-05-26 13:41:00,105
2019-05-26 13:42:00,348
2019-05-26 13:43:00,183
2019-05-26 13:49:00,159
2019-05-26 13:51:00,17
2019-05-26 14:14:00,130
2019-05-26 14:15:00,242
2019-05-26 14:41:00,95
2019-05-26 14:58:00,26
2019-05-26 15:02:00,71
2019-05-26 15:03:00,17
2019-05-26 15:13:00,130
2019-05-26 15:23:00,26
2019-05-26 21:52:00,45
