1200,"SELECT ra, dec, radius, type,area FROM Mask where ra < # and ra > # and dec < # and dec > # and type != #"
2019-05-26 19:53:00,1
2019-05-26 19:56:00,1
2019-05-26 19:57:00,45
2019-05-26 19:58:00,77
2019-05-26 19:59:00,43
2019-05-26 20:00:00,2
2019-05-26 20:01:00,77
2019-05-26 20:02:00,75
2019-05-26 20:03:00,77
2019-05-26 20:04:00,78
2019-05-26 20:05:00,73
2019-05-26 20:06:00,73
2019-05-26 20:07:00,60
2019-05-26 21:05:00,27
2019-05-26 21:06:00,79
2019-05-26 21:07:00,78
2019-05-26 21:08:00,77
2019-05-26 21:09:00,77
2019-05-26 21:10:00,77
2019-05-26 21:11:00,70
2019-05-26 21:12:00,33
