120,"SELECT p.objid, p.ra, p.dec, f.fieldid, p.field, p.InsideMask, p.u, p.err_u, p.g, p.err_g, p.r, p.err_r, p.i, p.err_i, p.z, p.err_z, p.type, f.quality, p.specObjID FROM PhotoPrimary AS p JOIN Field AS f ON f.fieldid = p.fieldid WHERE (clean = #) AND ((f.quality = #) OR (f.quality = #)) AND (p.type = dbo.fPhotoType(&&&) OR p.type = dbo.fPhotoType(&&&)) AND (p.ra BETWEEN # AND #) AND p.dec BETWEEN # AND # AND ((p.InsideMask = #) OR (p.InsideMask = #) OR (p.InsideMask = #)) AND (#/p.err_u > #) AND (#/p.err_g > #) AND (#/p.err_r > #) AND (#/p.err_i > #) AND (#/p.err_z > #)"
2019-08-27 08:50:00,5
2019-08-27 08:51:00,1
2019-08-27 08:57:00,1
2019-08-27 08:58:00,5
2019-08-27 09:02:00,2
2019-08-27 09:03:00,4
2019-08-27 09:44:00,1
2019-08-27 09:45:00,5
2019-08-27 09:51:00,5
2019-08-27 09:52:00,1
2019-08-27 11:45:00,2
2019-08-27 11:46:00,4
2019-08-27 11:49:00,1
2019-08-27 11:50:00,5
2019-08-27 11:52:00,3
2019-08-27 11:53:00,3
2019-08-27 14:41:00,1
2019-08-27 14:42:00,5
2019-08-27 14:48:00,1
2019-08-27 14:49:00,5
2019-08-27 16:55:00,1
2019-08-27 16:56:00,4
2019-08-27 16:57:00,1
2019-08-27 17:07:00,5
2019-08-27 17:08:00,1
2019-08-27 17:13:00,2
2019-08-27 17:14:00,4
2019-08-27 17:31:00,3
2019-08-27 17:32:00,3
2019-08-27 17:39:00,2
2019-08-27 17:40:00,4
2019-08-27 17:49:00,3
2019-08-27 17:50:00,3
2019-08-27 17:55:00,2
2019-08-27 17:56:00,4
2019-08-27 17:59:00,5
2019-08-27 18:00:00,1
2019-08-27 18:02:00,3
2019-08-27 18:03:00,3
2019-08-27 18:10:00,3
2019-08-27 18:11:00,3
