20,"SELECT top #    p.ra,p.dec ,p.type_r  FROM PhotoObjAll as p     WHERE p.type = # AND   p.ra between # and # AND   p.dec between # and #"
2019-08-27 01:07:00,1
2019-08-27 02:26:00,1
2019-08-27 02:43:00,1
2019-08-27 03:23:00,2
2019-08-27 03:39:00,1
2019-08-27 03:55:00,1
2019-08-27 04:09:00,1
2019-08-27 04:34:00,1
2019-08-27 05:42:00,1
2019-08-27 05:58:00,1
2019-08-27 06:10:00,1
2019-08-27 06:26:00,1
2019-08-27 06:36:00,1
2019-08-27 06:56:00,1
2019-08-27 07:17:00,1
2019-08-27 07:49:00,1
2019-08-27 08:04:00,1
2019-08-27 08:15:00,1
2019-08-27 08:32:00,1
