5194,"SELECT  top #   p.objID, p.run, p.rerun, p.camcol, p.field, p.obj,    p.type, p.ra, p.dec, p.u,p.g,p.r,p.i,p.z,    p.Err_u, p.Err_g, p.Err_r,p.Err_i,p.Err_z    FROM fGetNearbyObjEq(#,#,#) n, PhotoPrimary p    WHERE n.objID=p.objID"
2019-08-27 00:01:00,2
2019-08-27 00:03:00,9
2019-08-27 00:05:00,14
2019-08-27 00:07:00,11
2019-08-27 00:11:00,2
2019-08-27 00:13:00,9
2019-08-27 00:15:00,14
2019-08-27 00:17:00,11
2019-08-27 00:21:00,2
2019-08-27 00:23:00,9
2019-08-27 00:25:00,14
2019-08-27 00:27:00,11
2019-08-27 00:31:00,2
2019-08-27 00:33:00,9
2019-08-27 00:35:00,14
2019-08-27 00:37:00,9
2019-08-27 00:38:00,2
2019-08-27 00:41:00,2
2019-08-27 00:43:00,9
2019-08-27 00:45:00,14
2019-08-27 00:47:00,9
2019-08-27 00:48:00,2
2019-08-27 00:51:00,2
2019-08-27 00:53:00,9
2019-08-27 00:55:00,17
2019-08-27 00:57:00,9
2019-08-27 00:58:00,2
2019-08-27 01:01:00,2
2019-08-27 01:03:00,9
2019-08-27 01:05:00,15
2019-08-27 01:07:00,9
2019-08-27 01:08:00,2
2019-08-27 01:11:00,2
2019-08-27 01:13:00,9
2019-08-27 01:15:00,14
2019-08-27 01:17:00,9
2019-08-27 01:18:00,2
2019-08-27 01:21:00,2
2019-08-27 01:23:00,9
2019-08-27 01:25:00,13
2019-08-27 01:26:00,1
2019-08-27 01:27:00,9
2019-08-27 01:28:00,2
2019-08-27 01:31:00,2
2019-08-27 01:33:00,9
2019-08-27 01:35:00,13
2019-08-27 01:36:00,1
2019-08-27 01:37:00,9
2019-08-27 01:38:00,2
2019-08-27 01:41:00,2
2019-08-27 01:43:00,9
2019-08-27 01:45:00,13
2019-08-27 01:46:00,1
2019-08-27 01:47:00,9
2019-08-27 01:48:00,2
2019-08-27 01:51:00,2
2019-08-27 01:53:00,9
2019-08-27 01:55:00,15
2019-08-27 01:56:00,1
2019-08-27 01:57:00,8
2019-08-27 01:58:00,3
2019-08-27 02:01:00,2
2019-08-27 02:03:00,9
2019-08-27 02:05:00,13
2019-08-27 02:06:00,1
2019-08-27 02:07:00,8
2019-08-27 02:08:00,3
2019-08-27 02:11:00,2
