109,"SELECT g.objid, g.ra, g.dec, g. dered_g, g. dered_r, err_g, err_r, petroRad_r, petroRadErr_r FROM Galaxy AS g, dbo.fGetNearbyObjEq(#,#,#) AS n WHERE g.objID = n.objID AND ((g.flags_r & #) != #) AND ((g.flags_r & #) = #) AND (((g.flags_r & #) = #) or (g.psfmagerr_r <= #)) AND (((g.flags_r & #) = #) or (g.flags_r & #) = #)"
2019-08-27 08:49:00,1
2019-08-27 09:22:00,7
2019-08-27 09:23:00,3
2019-08-27 09:24:00,9
2019-08-27 09:25:00,4
2019-08-27 09:26:00,1
2019-08-27 09:40:00,1
2019-08-27 09:42:00,4
2019-08-27 09:43:00,1
2019-08-27 09:44:00,6
2019-08-27 09:45:00,15
2019-08-27 09:46:00,5
2019-08-27 09:47:00,9
2019-08-27 09:48:00,10
2019-08-27 09:49:00,8
2019-08-27 09:50:00,6
2019-08-27 09:51:00,1
2019-08-27 09:52:00,3
2019-08-27 09:53:00,10
2019-08-27 09:54:00,5
