459,"SELECT DISTINCT p.run, p.rerun, p.camcol, p.field FROM PhotoObjAll AS p WHERE (p.run=# AND p.camcol=# AND p.field=# AND p.rerun=#)"
2019-08-27 14:06:00,9
2019-08-27 14:07:00,7
2019-08-27 14:08:00,8
2019-08-27 14:09:00,8
2019-08-27 14:10:00,2
2019-08-27 21:10:00,1
2019-08-27 21:11:00,15
2019-08-27 21:12:00,12
2019-08-27 21:58:00,6
2019-08-27 21:59:00,18
2019-08-27 22:00:00,21
2019-08-27 22:11:00,13
2019-08-27 22:12:00,12
2019-08-27 22:21:00,1
2019-08-27 22:22:00,17
2019-08-27 22:23:00,19
2019-08-27 22:24:00,3
2019-08-27 22:27:00,3
2019-08-27 22:28:00,17
2019-08-27 22:29:00,15
2019-08-27 22:30:00,6
2019-08-27 22:31:00,6
2019-08-27 22:32:00,14
2019-08-27 22:36:00,12
2019-08-27 22:37:00,10
2019-08-27 22:39:00,9
2019-08-27 22:40:00,15
2019-08-27 22:41:00,16
2019-08-27 22:42:00,10
2019-08-27 22:44:00,7
2019-08-27 22:45:00,14
2019-08-27 22:46:00,9
2019-08-27 22:49:00,1
2019-08-27 22:50:00,16
2019-08-27 22:51:00,14
2019-08-27 22:53:00,4
2019-08-27 22:54:00,16
2019-08-27 22:57:00,7
2019-08-27 22:58:00,16
2019-08-27 22:59:00,3
2019-08-27 23:00:00,7
2019-08-27 23:01:00,13
2019-08-27 23:04:00,2
2019-08-27 23:05:00,8
2019-08-27 23:16:00,6
2019-08-27 23:29:00,11
