35,"select p.objid as name, p.ra, p.dec from galaxy p, specobj s where p.objid=s.bestobjid and (p.g BETWEEN # AND #) and s.z BETWEEN # AND #"
2019-08-27 00:06:00,1
2019-08-27 00:14:00,1
2019-08-27 00:25:00,1
2019-08-27 00:30:00,1
2019-08-27 00:40:00,1
2019-08-27 00:48:00,1
2019-08-27 00:53:00,1
2019-08-27 11:44:00,1
2019-08-27 11:46:00,1
2019-08-27 12:03:00,1
2019-08-27 12:22:00,1
2019-08-27 12:23:00,1
2019-08-27 13:08:00,2
2019-08-27 13:12:00,1
2019-08-27 13:15:00,1
2019-08-27 13:19:00,1
2019-08-27 13:24:00,1
2019-08-27 13:41:00,1
2019-08-27 16:00:00,1
2019-08-27 16:04:00,1
2019-08-27 16:07:00,1
2019-08-27 16:13:00,1
2019-08-27 16:17:00,1
2019-08-27 16:20:00,1
2019-08-27 16:24:00,1
2019-08-27 16:28:00,1
2019-08-27 16:30:00,1
2019-08-27 16:36:00,1
2019-08-27 16:42:00,1
2019-08-27 16:45:00,1
2019-08-27 17:40:00,1
2019-08-27 17:45:00,1
2019-08-27 17:54:00,1
2019-08-27 19:22:00,1
