4170,"select P.objid,P.ra,P.dec,P.petroMag_r,P.petroMagErr_r,P.deVRad_r,P.petroRad_r,P.deVPhi_r,P.deVAB_r,P.rowc_r,P.colc_r,P.run,P.rerun,P.camcol,P.field from PhotoObjAll P where P.objid = #"
2019-08-27 14:26:00,103
2019-08-27 14:27:00,389
2019-08-27 14:28:00,380
2019-08-27 14:29:00,376
2019-08-27 14:30:00,383
2019-08-27 14:31:00,370
2019-08-27 14:32:00,81
2019-08-27 14:46:00,190
2019-08-27 14:47:00,389
2019-08-27 14:48:00,379
2019-08-27 14:49:00,385
2019-08-27 14:50:00,383
2019-08-27 14:51:00,354
2019-08-27 14:52:00,8
