4,"SELECT TOP #  s.primTarget  FROM ..SpecObj as s  JOIN dbo.fGetNearbySpecObjEq(#,#,#) AS b ON b.SpecobjID = S.SpecobjID  WHERE s.zWarning = # AND (s.class = &&&) AND (s.primTarget & (dbo.fPrimTarget(&&&)) > #)"
2019-03-12 18:44:00,2
2019-03-12 18:46:00,1
2019-03-12 19:22:00,1
