129,select objid from photoobjall where photoobjall.dec between -.# and -.# and photoobjall.ra between # and #
2019-03-12 08:09:00,1
2019-03-12 08:10:00,1
2019-03-12 08:17:00,1
2019-03-12 08:24:00,2
2019-03-12 08:27:00,3
2019-03-12 08:29:00,1
2019-03-12 08:37:00,1
2019-03-12 08:40:00,4
2019-03-12 08:41:00,1
2019-03-12 08:42:00,1
2019-03-12 08:43:00,1
2019-03-12 08:44:00,3
2019-03-12 08:45:00,3
2019-03-12 08:56:00,3
2019-03-12 08:57:00,1
2019-03-12 09:00:00,1
2019-03-12 09:05:00,1
2019-03-12 09:06:00,1
2019-03-12 09:07:00,1
2019-03-12 09:08:00,1
2019-03-12 09:10:00,1
2019-03-12 09:13:00,1
2019-03-12 09:14:00,3
2019-03-12 09:16:00,1
2019-03-12 09:18:00,3
2019-03-12 09:20:00,2
2019-03-12 09:21:00,1
2019-03-12 09:22:00,1
2019-03-12 09:25:00,1
2019-03-12 09:28:00,5
2019-03-12 09:29:00,6
2019-03-12 09:32:00,1
2019-03-12 09:33:00,5
2019-03-12 09:34:00,1
2019-03-12 09:35:00,1
2019-03-12 09:36:00,3
2019-03-12 09:38:00,1
2019-03-12 09:40:00,11
2019-03-12 09:41:00,10
2019-03-12 09:42:00,4
2019-03-12 09:43:00,2
2019-03-12 09:45:00,1
2019-03-12 09:46:00,2
2019-03-12 09:47:00,2
2019-03-12 09:49:00,2
2019-03-12 09:50:00,1
2019-03-12 09:51:00,3
2019-03-12 09:52:00,2
2019-03-12 09:57:00,1
2019-03-12 10:02:00,1
2019-03-12 20:41:00,2
2019-03-12 20:42:00,5
2019-03-12 20:50:00,2
2019-03-12 20:51:00,1
2019-03-12 20:54:00,1
2019-03-12 20:59:00,2
2019-03-12 21:03:00,1
2019-03-12 21:06:00,2
2019-03-12 21:08:00,2
