19,"select top # p.objid, p.ra, p.dec, p.g, s.z as redshift from galaxy p, specobj s, dbo.fgetNearByObjEq(#,#,#) n where p.objid=s.bestobjid and p.objid=n.objid and s.bestobjid=n.objid and (p.g BETWEEN # AND #)  and s.z BETWEEN # AND # order by p.g"
2019-03-12 02:28:00,1
2019-03-12 02:37:00,1
2019-03-12 02:51:00,1
2019-03-12 04:21:00,1
2019-03-12 04:30:00,1
2019-03-12 04:31:00,1
2019-03-12 04:34:00,1
2019-03-12 04:35:00,1
2019-03-12 04:38:00,1
2019-03-12 04:39:00,1
2019-03-12 04:43:00,1
2019-03-12 04:44:00,1
2019-03-12 04:46:00,1
2019-03-12 04:47:00,1
2019-03-12 07:17:00,1
2019-03-12 07:18:00,1
2019-03-12 07:33:00,1
2019-03-12 17:34:00,1
2019-03-12 20:59:00,1
