451,select objid from photoprimary where photoprimary.dec between -.# and -.# and photoprimary.ra between # and #
2019-03-12 00:41:00,2
2019-03-12 07:28:00,1
2019-03-12 07:29:00,18
2019-03-12 07:58:00,11
2019-03-12 08:17:00,6
2019-03-12 09:39:00,16
2019-03-12 09:41:00,3
2019-03-12 09:42:00,15
2019-03-12 10:04:00,19
2019-03-12 10:06:00,13
2019-03-12 10:25:00,43
2019-03-12 10:26:00,15
2019-03-12 10:27:00,2
2019-03-12 18:50:00,2
2019-03-12 18:51:00,14
2019-03-12 20:33:00,3
2019-03-12 20:34:00,5
2019-03-12 20:35:00,5
2019-03-12 20:36:00,149
2019-03-12 20:37:00,41
2019-03-12 20:40:00,36
2019-03-12 20:47:00,16
2019-03-12 21:02:00,15
2019-03-12 21:03:00,1
