5,"SELECT TOP # ObjID, type, u, g, r, i, z, RA, Dec FROM star WHERE r < # AND RA BETWEEN # and # AND Dec BETWEEN # and #"
2019-03-12 03:45:00,3
2019-03-12 03:55:00,2
