1190,"select   z, ra, dec, bestObjID   from   specObj   where   class = &&&   and zWarning = #   and ra<#  and ra>#  and dec<#  and dec>#  and z >#  and z <#"
2019-03-12 10:32:00,49
2019-03-12 10:33:00,69
2019-03-12 10:34:00,59
2019-03-12 10:35:00,54
2019-03-12 10:36:00,57
2019-03-12 10:37:00,54
2019-03-12 10:38:00,74
2019-03-12 10:39:00,61
2019-03-12 10:43:00,39
2019-03-12 10:44:00,56
2019-03-12 10:45:00,56
2019-03-12 10:46:00,55
2019-03-12 10:47:00,59
2019-03-12 11:25:00,58
2019-03-12 11:26:00,55
2019-03-12 11:27:00,57
2019-03-12 11:28:00,61
2019-03-12 11:29:00,34
2019-03-12 11:38:00,35
2019-03-12 11:39:00,61
2019-03-12 11:40:00,27
2019-03-12 11:49:00,4
2019-03-12 11:50:00,55
2019-03-12 17:48:00,1
