865,"select s.z, p.petroRad_z   from photoObj p   JOIN specObj s ON s.bestObjID = p.objID   where s.bestObjID = #"
2019-03-12 10:32:00,15
2019-03-12 10:33:00,32
2019-03-12 10:34:00,47
2019-03-12 10:35:00,52
2019-03-12 10:36:00,47
2019-03-12 10:37:00,40
2019-03-12 10:38:00,45
2019-03-12 10:39:00,34
2019-03-12 10:43:00,11
2019-03-12 10:44:00,43
2019-03-12 10:45:00,49
2019-03-12 10:46:00,48
2019-03-12 10:47:00,58
2019-03-12 11:25:00,20
2019-03-12 11:26:00,48
2019-03-12 11:27:00,53
2019-03-12 11:28:00,54
2019-03-12 11:29:00,34
2019-03-12 11:38:00,10
2019-03-12 11:39:00,45
2019-03-12 11:40:00,27
2019-03-12 11:49:00,1
2019-03-12 11:50:00,52
