236,"SELECT TOP # s.plate,s.mjd,s.fiberid,s.elodieSpType FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid=p.objid WHERE s.class=&&& AND s.elodieSpType!=&&&"
2019-03-12 18:28:00,7
2019-03-12 18:29:00,7
2019-03-12 18:30:00,3
2019-03-12 18:31:00,4
2019-03-12 18:32:00,3
2019-03-12 18:33:00,6
2019-03-12 18:34:00,6
2019-03-12 18:35:00,7
2019-03-12 18:36:00,6
2019-03-12 18:37:00,6
2019-03-12 18:38:00,6
2019-03-12 18:39:00,3
2019-03-12 18:40:00,6
2019-03-12 18:41:00,7
2019-03-12 18:42:00,6
2019-03-12 18:43:00,6
2019-03-12 18:44:00,5
2019-03-12 18:45:00,7
2019-03-12 18:46:00,1
2019-03-12 18:47:00,1
2019-03-12 18:48:00,6
2019-03-12 18:49:00,20
2019-03-12 18:50:00,7
2019-03-12 18:51:00,7
2019-03-12 18:52:00,9
2019-03-12 18:53:00,9
2019-03-12 18:54:00,8
2019-03-12 18:55:00,8
2019-03-12 18:56:00,9
2019-03-12 18:57:00,8
2019-03-12 18:58:00,7
2019-03-12 18:59:00,7
2019-03-12 19:00:00,8
2019-03-12 19:01:00,8
2019-03-12 19:02:00,7
2019-03-12 19:03:00,4
2019-03-12 19:04:00,1
