4407,"SELECT #, p.*, s.*  from SpecPhotoALL s, photoprimary p  where s.objid = p.objid and s.plate = # and s.mjd = # and s.fiberID = #"
2019-03-12 03:53:00,12
2019-03-12 03:54:00,14
2019-03-12 03:55:00,14
2019-03-12 03:56:00,15
2019-03-12 03:57:00,9
2019-03-12 03:58:00,8
2019-03-12 03:59:00,13
2019-03-12 04:00:00,10
2019-03-12 04:01:00,9
2019-03-12 04:02:00,9
2019-03-12 04:03:00,9
2019-03-12 04:04:00,8
2019-03-12 04:05:00,8
2019-03-12 04:06:00,9
2019-03-12 04:07:00,9
2019-03-12 04:08:00,9
2019-03-12 04:09:00,8
2019-03-12 04:10:00,7
2019-03-12 04:11:00,2
2019-03-12 04:12:00,8
2019-03-12 04:13:00,8
2019-03-12 04:14:00,4
2019-03-12 04:15:00,6
2019-03-12 04:16:00,3
2019-03-12 04:17:00,6
2019-03-12 04:18:00,9
2019-03-12 04:19:00,6
2019-03-12 04:20:00,12
2019-03-12 04:21:00,13
2019-03-12 04:22:00,16
2019-03-12 04:23:00,14
2019-03-12 04:24:00,15
2019-03-12 04:25:00,13
2019-03-12 04:26:00,14
2019-03-12 04:27:00,15
2019-03-12 04:28:00,14
2019-03-12 04:29:00,7
2019-03-12 04:30:00,8
2019-03-12 04:31:00,13
2019-03-12 04:32:00,13
2019-03-12 04:33:00,16
2019-03-12 04:34:00,16
2019-03-12 04:35:00,15
2019-03-12 04:36:00,15
2019-03-12 04:37:00,13
2019-03-12 04:38:00,13
2019-03-12 04:39:00,14
2019-03-12 04:40:00,12
2019-03-12 04:41:00,14
2019-03-12 04:42:00,15
2019-03-12 04:43:00,15
2019-03-12 04:44:00,17
2019-03-12 04:45:00,17
2019-03-12 04:46:00,16
2019-03-12 04:47:00,16
2019-03-12 04:48:00,16
2019-03-12 04:49:00,16
2019-03-12 04:50:00,16
2019-03-12 04:51:00,14
2019-03-12 04:52:00,14
2019-03-12 04:53:00,16
2019-03-12 04:54:00,16
2019-03-12 04:55:00,18
2019-03-12 04:56:00,15
2019-03-12 04:57:00,7
2019-03-12 05:12:00,5
