154,select objid from photoobjall where photoobjall.dec between .# and .# and photoobjall.ra between # and #
2019-03-12 08:08:00,1
2019-03-12 08:10:00,2
2019-03-12 08:16:00,4
2019-03-12 08:20:00,4
2019-03-12 08:21:00,3
2019-03-12 08:22:00,1
2019-03-12 08:25:00,2
2019-03-12 08:29:00,2
2019-03-12 08:37:00,2
2019-03-12 08:38:00,7
2019-03-12 08:39:00,1
2019-03-12 08:42:00,2
2019-03-12 08:43:00,2
2019-03-12 08:51:00,1
2019-03-12 08:56:00,1
2019-03-12 08:58:00,1
2019-03-12 09:00:00,4
2019-03-12 09:01:00,3
2019-03-12 09:02:00,2
2019-03-12 09:03:00,1
2019-03-12 09:04:00,2
2019-03-12 09:05:00,1
2019-03-12 09:06:00,2
2019-03-12 09:08:00,1
2019-03-12 09:10:00,1
2019-03-12 09:11:00,2
2019-03-12 09:12:00,3
2019-03-12 09:13:00,4
2019-03-12 09:15:00,2
2019-03-12 09:16:00,1
2019-03-12 09:19:00,1
2019-03-12 09:20:00,1
2019-03-12 09:21:00,3
2019-03-12 09:22:00,1
2019-03-12 09:24:00,1
2019-03-12 09:25:00,5
2019-03-12 09:29:00,2
2019-03-12 09:31:00,2
2019-03-12 09:33:00,3
2019-03-12 09:36:00,2
2019-03-12 09:37:00,2
2019-03-12 09:40:00,11
2019-03-12 09:41:00,5
2019-03-12 09:43:00,1
2019-03-12 09:44:00,3
2019-03-12 09:45:00,1
2019-03-12 09:46:00,4
2019-03-12 09:47:00,1
2019-03-12 09:52:00,1
2019-03-12 09:53:00,1
2019-03-12 09:54:00,1
2019-03-12 09:59:00,1
2019-03-12 20:41:00,7
2019-03-12 20:42:00,5
2019-03-12 20:50:00,3
2019-03-12 20:52:00,3
2019-03-12 20:54:00,1
2019-03-12 20:56:00,2
2019-03-12 20:59:00,1
2019-03-12 21:01:00,2
2019-03-12 21:05:00,2
2019-03-12 21:06:00,6
2019-03-12 21:07:00,3
2019-03-12 21:08:00,1
