93,select * from galSpecIndx where specObjId=#
2019-03-12 06:17:00,1
2019-03-12 08:06:00,2
2019-03-12 13:02:00,1
2019-03-12 14:34:00,1
2019-03-12 14:44:00,1
2019-03-12 15:14:00,1
2019-03-12 15:21:00,1
2019-03-12 15:24:00,10
2019-03-12 15:25:00,36
2019-03-12 15:30:00,1
2019-03-12 16:16:00,1
2019-03-12 17:24:00,1
2019-03-12 18:20:00,1
2019-03-12 18:22:00,1
2019-03-12 18:54:00,14
2019-03-12 19:45:00,3
2019-03-12 19:46:00,11
2019-03-12 19:47:00,1
2019-03-12 20:20:00,4
2019-03-12 22:10:00,1
