66,select objid from photoprimary where photoprimary.dec between -.# and .# and photoprimary.ra between # and # and photoprimary.r between # and #
2019-02-27 22:18:00,1
2019-02-27 22:23:00,1
2019-02-27 22:27:00,2
2019-02-27 22:32:00,1
2019-02-27 22:34:00,1
2019-02-27 22:38:00,1
2019-02-27 22:40:00,1
2019-02-27 23:00:00,1
2019-02-27 23:05:00,1
2019-02-27 23:08:00,1
2019-02-27 23:09:00,1
2019-02-27 23:13:00,1
2019-02-27 23:14:00,1
2019-02-27 23:20:00,1
2019-02-27 23:22:00,1
2019-03-06 05:12:00,4
2019-03-06 15:01:00,1
2019-03-14 08:10:00,1
2019-03-14 08:12:00,3
2019-03-14 08:13:00,4
2019-03-14 08:18:00,5
2019-03-14 08:30:00,3
2019-03-14 08:31:00,5
2019-03-14 08:33:00,1
2019-03-14 08:34:00,2
2019-03-14 08:36:00,9
2019-03-14 08:48:00,2
2019-03-14 08:49:00,1
2019-03-14 09:04:00,2
2019-03-14 09:05:00,4
2019-03-14 09:06:00,3
