3,"SELECT ra, dec, u, err_u, g, err_g, r, err_r, i, err_i, z, err_z, objID into mydb.MyTable from dbo.PhotoObjAll WHERE objID = # or objID = # or objID = # or objID = # or objID = # or objID = # or objID = # or objID = # or objID = # or objID = # or objID = # or objID = # or objID = #"
2019-09-26 18:59:00,1
2019-09-26 19:00:00,2
