24,select top # * from [MyTable2]
2019-01-08 15:50:00,1
2019-01-08 16:54:00,1
2019-01-15 03:15:00,1
2019-01-15 03:21:00,1
2019-02-12 10:24:00,1
2019-03-04 07:57:00,1
2019-04-12 10:24:00,1
2019-04-24 17:03:00,1
2019-05-14 15:47:00,1
2019-05-14 15:49:00,1
2019-05-14 15:55:00,1
2019-07-17 18:32:00,1
2019-08-06 06:40:00,1
2019-08-26 10:31:00,1
2019-09-04 15:51:00,1
2019-09-04 16:04:00,2
2019-09-04 16:05:00,1
2019-09-05 00:39:00,1
2019-09-05 00:40:00,1
2019-09-12 06:06:00,1
2019-10-17 11:54:00,1
2019-10-18 10:29:00,1
2019-10-29 07:26:00,1
