2,"select top # specObjID, rv_alpha , cModelMag_u, cModelMag_g, cModelMag_r, cModelMag_i from specPhoto, apogeeVisit Where type = # and cModelMagErr_u < # and cModelMagErr_g < # and cModelMagErr_r < # and cModelMagErr_i < #"
2019-06-12 03:28:00,1
2019-06-12 03:29:00,1
