902,"select N.objID, N.run, N.camcol, N.field, N.rerun, N.type, po.petroR9#_r, po.petroR5#_r, po.expAB_r, po.deVAB_r, po.expPhi_r, po.deVPhi_r, po.phioffset_r, po.petroR9#_g, po.petroR5#_g, po.expAB_g, po.deVAB_g, po.expPhi_g, po.deVPhi_g, po.phioffset_g, po.ra as ra2, po.dec as dec2, sp.specObjID, sp.z as z2 from SpecPhotoAll sp, PhotoObjAll po, dbo.fGetNearestObjEq (#, #, #/#.) as N where N.objID = sp.objID and N.objID = po.objID"
2019-09-05 18:32:00,10
2019-09-05 18:33:00,6
2019-09-05 18:34:00,4
2019-09-05 18:37:00,14
2019-09-05 18:38:00,20
2019-09-05 18:39:00,21
2019-09-05 18:40:00,19
2019-09-05 18:41:00,18
2019-09-05 18:42:00,24
2019-09-05 18:43:00,22
2019-09-05 18:44:00,23
2019-09-05 18:45:00,23
2019-09-05 18:46:00,23
2019-09-05 18:47:00,24
2019-09-05 18:48:00,22
2019-09-05 18:49:00,24
2019-09-05 18:50:00,23
2019-09-05 18:51:00,23
2019-09-05 18:52:00,22
2019-09-05 18:53:00,24
2019-09-05 18:54:00,24
2019-09-05 18:55:00,23
2019-09-05 18:56:00,24
2019-09-05 18:57:00,6
2019-09-06 15:33:00,15
2019-09-06 15:34:00,20
2019-09-06 15:35:00,16
2019-09-06 15:36:00,23
2019-09-06 15:37:00,18
2019-09-06 15:38:00,19
2019-09-06 15:39:00,23
2019-09-06 15:40:00,18
2019-09-06 15:41:00,23
2019-09-06 15:42:00,17
2019-09-06 15:43:00,20
2019-09-06 15:44:00,20
2019-09-06 15:45:00,19
2019-09-06 15:46:00,22
2019-09-06 15:47:00,23
2019-09-06 15:48:00,23
2019-09-06 15:49:00,18
2019-09-06 15:50:00,21
2019-09-06 15:51:00,15
2019-09-06 15:52:00,16
2019-09-06 15:53:00,16
2019-09-06 15:54:00,16
2019-09-06 15:55:00,15
