34,"select top # p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z from star p, dbo.fgetNearByObjEq (#, +#, #) n where p.objid = n.objid"
2019-06-25 01:59:00,1
2019-06-25 13:48:00,1
2019-06-25 14:34:00,1
2019-06-25 14:36:00,1
2019-06-25 14:38:00,1
2019-06-25 14:41:00,1
2019-06-25 15:02:00,1
2019-06-25 15:09:00,1
2019-06-25 15:10:00,1
2019-06-25 15:11:00,2
2019-06-25 17:03:00,1
2019-06-25 17:06:00,1
2019-06-25 17:09:00,1
2019-06-25 17:10:00,1
2019-06-25 17:17:00,1
2019-06-25 17:27:00,1
2019-06-25 17:34:00,1
2019-06-25 17:38:00,1
2019-06-25 18:00:00,1
2019-06-25 18:01:00,1
2019-06-25 18:04:00,1
2019-06-25 18:28:00,1
2019-06-25 18:45:00,1
2019-06-25 19:09:00,2
2019-06-25 19:10:00,1
2019-06-26 00:28:00,2
2019-06-26 13:09:00,1
2019-06-27 14:18:00,1
2019-06-27 14:46:00,1
2019-06-27 15:34:00,1
2019-06-27 15:48:00,1
