15,"SELECT TOP # s.plate, s.mjd, s.fiberid FROM ..SpecObj as s JOIN dbo.fGetNearbySpecObjEq (#, #, #) AS b ON b.SpecobjID = S.SpecobjID WHERE s.z > # AND s.zWarning = # AND (s.class = #) AND s.z < # AND (s.primTarget & (dbo.fPrimTarget (#) ) > #)"
2019-04-01 21:45:00,1
2019-04-01 21:46:00,1
2019-04-01 21:47:00,1
2019-09-02 07:29:00,1
2019-09-02 07:30:00,1
2019-09-15 23:21:00,1
2019-09-20 19:17:00,1
2019-10-05 11:18:00,1
2019-10-05 11:19:00,1
2019-10-10 12:20:00,1
2019-10-18 21:14:00,1
2019-10-18 21:15:00,2
2019-11-12 10:37:00,1
2019-11-12 10:38:00,1
