906,"SELECT TOP # p.objid, p.ra, p.dec, IS# (s.specobjid, #) AS specobjid, IS# (s.z, #) AS z FROM Galaxy AS p LEFT OUTER JOIN SpecObj s ON s.bestObjID = p.objID WHERE p.u BETWEEN # AND # AND p.g BETWEEN # AND #"
2019-01-01 09:06:00,1
2019-01-01 11:08:00,1
2019-01-02 00:19:00,1
2019-01-02 00:48:00,1
2019-01-02 01:00:00,1
2019-01-02 07:44:00,1
2019-01-03 08:57:00,1
2019-01-03 11:08:00,1
2019-01-03 13:46:00,1
2019-01-05 04:05:00,1
2019-01-05 07:49:00,1
2019-01-05 11:53:00,1
2019-01-06 12:41:00,1
2019-01-07 00:10:00,1
2019-01-07 23:32:00,1
2019-01-07 23:58:00,1
2019-01-08 03:29:00,1
2019-01-08 03:42:00,1
2019-01-08 05:29:00,1
2019-01-08 06:27:00,1
2019-01-08 07:28:00,1
2019-01-08 08:45:00,1
2019-01-08 14:56:00,1
2019-01-08 18:30:00,1
2019-01-10 02:14:00,1
2019-01-10 09:48:00,1
2019-01-10 22:01:00,1
2019-01-11 04:43:00,1
2019-01-12 03:14:00,1
2019-01-12 09:48:00,1
2019-01-13 08:30:00,1
2019-01-13 09:09:00,1
2019-01-14 11:19:00,1
2019-01-17 04:32:00,1
2019-01-17 22:26:00,1
2019-01-17 22:56:00,1
2019-01-19 20:42:00,1
2019-01-20 18:31:00,1
2019-01-22 08:16:00,1
2019-01-22 08:27:00,1
2019-01-22 13:11:00,1
2019-01-22 20:45:00,1
2019-01-23 23:26:00,1
2019-01-24 12:46:00,1
2019-01-25 11:29:00,1
2019-01-25 14:18:00,1
2019-01-25 15:57:00,1
2019-01-26 10:37:00,1
2019-01-26 20:15:00,1
2019-01-27 09:47:00,1
2019-01-27 21:44:00,1
2019-01-28 14:02:00,1
2019-01-28 14:38:00,1
2019-01-29 00:44:00,1
2019-01-30 09:30:00,1
2019-01-30 15:55:00,2
2019-01-30 21:14:00,1
2019-02-01 07:31:00,1
2019-02-01 21:18:00,1
2019-02-01 22:18:00,1
2019-02-02 07:48:00,1
2019-02-02 14:43:00,1
2019-02-03 03:23:00,1
2019-02-04 13:40:00,1
2019-02-04 14:11:00,1
2019-02-04 14:42:00,1
2019-02-06 10:32:00,1
2019-02-08 01:32:00,1
2019-02-08 04:27:00,1
2019-02-08 04:37:00,1
2019-02-08 13:31:00,1
2019-02-08 17:01:00,1
2019-02-08 18:12:00,1
2019-02-08 22:18:00,1
2019-02-09 15:56:00,1
2019-02-09 17:34:00,1
2019-02-10 05:53:00,1
2019-02-10 09:43:00,1
2019-02-10 18:51:00,1
2019-02-11 05:20:00,1
2019-02-11 11:14:00,1
2019-02-11 21:35:00,1
2019-02-11 22:37:00,1
2019-02-12 15:20:00,1
2019-02-12 18:51:00,1
2019-02-12 19:06:00,1
2019-02-13 09:53:00,1
2019-02-13 12:29:00,1
2019-02-13 18:59:00,1
2019-02-14 12:11:00,1
2019-02-14 12:20:00,1
2019-02-14 12:52:00,1
2019-02-14 18:51:00,1
2019-02-16 10:47:00,1
2019-02-16 22:48:00,1
2019-02-17 11:13:00,1
2019-02-17 13:24:00,1
2019-02-17 15:55:00,1
2019-02-18 00:05:00,1
2019-02-18 03:06:00,1
2019-02-18 23:24:00,1
2019-02-19 07:34:00,1
2019-02-20 03:02:00,1
2019-02-20 20:28:00,1
2019-02-21 04:32:00,1
2019-02-21 07:47:00,1
2019-02-21 10:10:00,1
2019-02-21 13:07:00,1
2019-02-22 18:18:00,1
2019-02-22 20:46:00,1
2019-02-24 02:25:00,1
2019-02-24 11:53:00,1
2019-02-25 18:08:00,1
2019-02-26 01:28:00,1
2019-02-27 19:50:00,1
2019-02-27 22:28:00,1
2019-02-28 01:49:00,1
2019-02-28 03:34:00,1
2019-02-28 08:02:00,1
2019-02-28 17:48:00,1
2019-03-01 01:38:00,1
2019-03-01 02:02:00,1
2019-03-01 02:30:00,1
2019-03-01 03:47:00,1
2019-03-01 08:53:00,1
2019-03-01 10:07:00,1
2019-03-01 12:58:00,1
2019-03-01 18:37:00,1
2019-03-01 21:17:00,1
2019-03-01 22:33:00,1
2019-03-02 02:08:00,1
2019-03-02 17:56:00,1
2019-03-02 22:38:00,1
2019-03-03 02:22:00,1
2019-03-03 10:23:00,1
2019-03-04 01:12:00,1
2019-03-04 08:50:00,1
2019-03-04 23:03:00,1
2019-03-05 07:32:00,1
2019-03-05 08:53:00,1
2019-03-06 14:07:00,1
2019-03-06 22:50:00,1
2019-03-07 01:26:00,1
2019-03-07 07:50:00,1
2019-03-07 11:11:00,1
2019-03-07 19:15:00,1
2019-03-07 21:42:00,1
2019-03-08 11:21:00,1
2019-03-08 14:35:00,1
2019-03-08 20:48:00,1
2019-03-08 22:36:00,1
2019-03-09 02:07:00,1
2019-03-10 01:52:00,1
2019-03-10 18:12:00,1
2019-03-10 23:48:00,1
2019-03-11 02:17:00,1
2019-03-11 07:57:00,1
2019-03-11 08:07:00,1
2019-03-11 13:47:00,1
2019-03-11 16:48:00,1
2019-03-12 20:00:00,1
2019-03-12 21:30:00,1
2019-03-13 03:03:00,1
2019-03-13 08:38:00,1
2019-03-14 10:28:00,1
2019-03-14 11:21:00,1
2019-03-15 01:30:00,1
2019-03-15 02:49:00,1
2019-03-15 03:31:00,1
2019-03-15 04:26:00,1
2019-03-15 10:28:00,1
2019-03-15 17:56:00,1
2019-03-15 18:22:00,1
2019-03-16 17:56:00,1
2019-03-17 22:06:00,1
2019-03-19 14:03:00,2
2019-03-19 17:45:00,1
2019-03-20 13:12:00,1
2019-03-21 16:43:00,1
2019-03-21 16:53:00,1
2019-03-22 14:35:00,1
2019-03-23 19:41:00,1
2019-03-23 22:54:00,1
2019-03-24 07:53:00,1
2019-03-25 01:32:00,1
2019-03-25 05:14:00,1
2019-03-25 05:21:00,1
2019-03-25 09:33:00,1
2019-03-26 09:06:00,1
2019-03-26 10:10:00,1
2019-03-26 16:01:00,1
2019-03-26 19:54:00,1
2019-03-26 20:29:00,1
2019-03-26 20:57:00,1
2019-03-26 21:04:00,1
2019-03-26 21:07:00,1
2019-03-26 21:18:00,1
2019-03-26 21:19:00,3
2019-03-26 21:20:00,1
2019-03-27 03:17:00,1
2019-03-27 16:57:00,1
2019-03-27 18:13:00,1
2019-03-27 19:16:00,1
2019-03-28 16:15:00,1
2019-03-28 17:57:00,1
2019-03-28 19:58:00,1
2019-03-28 22:19:00,1
2019-03-28 23:55:00,1
2019-03-30 00:03:00,1
2019-03-30 09:09:00,1
2019-03-31 06:00:00,1
2019-03-31 12:57:00,1
2019-03-31 14:14:00,1
2019-03-31 14:35:00,1
2019-03-31 20:13:00,1
2019-04-01 06:23:00,1
2019-04-01 18:25:00,1
2019-04-01 19:28:00,1
2019-04-01 20:32:00,1
2019-04-01 22:18:00,1
2019-04-02 10:09:00,1
2019-04-03 06:43:00,1
2019-04-03 13:29:00,1
2019-04-03 14:46:00,1
2019-04-04 12:55:00,1
2019-04-04 14:42:00,1
2019-04-05 18:00:00,1
2019-04-06 06:00:00,1
2019-04-06 06:13:00,1
2019-04-07 00:28:00,1
2019-04-07 14:44:00,1
2019-04-07 16:07:00,1
2019-04-08 05:30:00,1
2019-04-08 15:36:00,1
2019-04-08 18:14:00,1
2019-04-08 18:49:00,1
2019-04-09 05:18:00,1
2019-04-09 12:27:00,1
2019-04-09 21:16:00,1
2019-04-09 21:21:00,1
2019-04-09 21:22:00,1
2019-04-10 00:37:00,1
2019-04-10 20:22:00,1
2019-04-10 20:23:00,1
2019-04-11 13:40:00,1
2019-04-12 13:06:00,1
2019-04-12 13:35:00,1
2019-04-13 02:32:00,1
2019-04-13 15:03:00,1
2019-04-13 23:04:00,1
2019-04-14 12:01:00,1
2019-04-15 12:27:00,1
2019-04-15 22:07:00,1
2019-04-16 07:07:00,1
2019-04-16 18:44:00,1
2019-04-16 22:38:00,1
2019-04-18 05:47:00,1
2019-04-18 09:06:00,1
2019-04-18 09:17:00,1
2019-04-18 14:11:00,1
2019-04-18 17:35:00,1
2019-04-18 21:24:00,1
2019-04-18 21:56:00,1
2019-04-19 00:45:00,1
2019-04-19 01:40:00,1
2019-04-19 10:01:00,1
2019-04-19 14:21:00,1
2019-04-19 19:07:00,1
2019-04-20 20:42:00,1
2019-04-22 09:26:00,1
2019-04-22 13:55:00,1
2019-04-22 22:37:00,1
2019-04-23 23:48:00,1
2019-04-24 05:09:00,1
2019-04-25 01:15:00,1
2019-04-25 07:21:00,1
2019-04-26 06:15:00,1
2019-04-26 20:36:00,1
2019-04-27 06:53:00,1
2019-04-28 02:54:00,1
2019-04-28 06:01:00,1
2019-04-28 09:22:00,1
2019-04-28 13:36:00,1
2019-04-28 16:37:00,1
2019-04-29 06:08:00,1
2019-04-29 11:53:00,1
2019-04-30 10:02:00,1
2019-04-30 17:43:00,1
2019-04-30 17:55:00,1
2019-05-01 14:58:00,1
2019-05-02 11:11:00,1
2019-05-02 20:29:00,1
2019-05-03 04:41:00,1
2019-05-03 14:47:00,1
2019-05-03 17:27:00,1
2019-05-03 19:10:00,1
2019-05-04 00:10:00,1
2019-05-04 15:47:00,1
2019-05-04 15:50:00,1
2019-05-05 02:32:00,1
2019-05-06 07:13:00,1
2019-05-06 08:06:00,1
2019-05-06 09:10:00,1
2019-05-06 11:01:00,1
2019-05-06 14:59:00,1
2019-05-07 09:37:00,1
2019-05-08 18:15:00,1
2019-05-10 16:24:00,1
2019-05-11 04:05:00,1
2019-05-11 05:19:00,1
2019-05-11 07:00:00,1
2019-05-11 13:45:00,1
2019-05-12 05:51:00,1
2019-05-12 08:41:00,1
2019-05-12 20:27:00,1
2019-05-13 02:44:00,1
2019-05-13 08:40:00,1
2019-05-13 22:34:00,1
2019-05-14 07:40:00,1
2019-05-14 19:42:00,1
2019-05-15 22:26:00,1
2019-05-15 23:58:00,1
2019-05-16 00:42:00,1
2019-05-16 14:47:00,1
2019-05-17 04:04:00,1
2019-05-17 04:23:00,1
2019-05-17 04:42:00,1
2019-05-17 05:27:00,1
2019-05-18 12:07:00,1
2019-05-18 20:34:00,1
2019-05-18 21:23:00,1
2019-05-18 22:01:00,1
2019-05-19 00:41:00,1
2019-05-19 10:25:00,1
2019-05-20 17:32:00,1
2019-05-20 18:42:00,1
2019-05-21 02:43:00,1
2019-05-21 02:46:00,1
2019-05-21 03:31:00,1
2019-05-21 10:22:00,1
2019-05-21 11:31:00,1
2019-05-22 14:15:00,1
2019-05-23 04:23:00,1
2019-05-23 06:33:00,1
2019-05-23 10:00:00,1
2019-05-23 12:33:00,1
2019-05-23 13:33:00,1
2019-05-23 16:30:00,1
2019-05-23 17:00:00,1
2019-05-24 02:15:00,1
2019-05-24 08:56:00,1
2019-05-24 13:31:00,1
2019-05-24 17:33:00,1
2019-05-24 19:13:00,1
2019-05-24 20:04:00,1
2019-05-24 20:29:00,1
2019-05-24 23:58:00,1
2019-05-25 02:38:00,1
2019-05-27 12:16:00,1
2019-05-28 20:44:00,1
2019-05-29 04:02:00,1
2019-05-29 12:10:00,1
2019-05-30 02:52:00,1
2019-05-30 07:52:00,1
2019-05-30 16:13:00,1
2019-05-30 21:18:00,1
2019-05-30 22:35:00,1
2019-05-31 01:24:00,1
2019-05-31 15:58:00,1
2019-06-01 09:25:00,1
