2415,"INSERT INTO image_stims (stim_ID, dataset_name, stim_training_class, stim_desc, stim_filepath) VALUES (#, #, #, #, #)"
2019-04-16 12:40:00,20
2019-04-16 12:41:00,20
2019-04-16 12:49:00,20
2019-04-16 12:56:00,20
2019-04-16 13:00:00,20
2019-04-16 13:05:00,4
2019-04-16 13:06:00,16
2019-04-16 13:18:00,20
2019-04-16 13:24:00,20
2019-04-16 13:42:00,20
2019-04-16 13:44:00,20
2019-04-16 13:56:00,20
2019-05-21 12:27:00,20
2019-05-21 12:36:00,16
2019-05-21 12:37:00,4
2019-05-21 12:41:00,10
2019-05-21 12:42:00,10
2019-05-21 12:44:00,14
2019-05-21 12:45:00,6
2019-05-21 12:46:00,11
2019-05-21 12:47:00,9
2019-05-21 12:49:00,6
2019-05-21 12:50:00,14
2019-05-21 12:53:00,20
2019-05-21 12:57:00,20
2019-05-21 13:01:00,20
2019-05-21 13:06:00,20
2019-05-21 13:08:00,20
2019-05-21 13:33:00,18
2019-05-21 13:34:00,2
2019-05-21 13:49:00,20
2019-05-21 13:52:00,20
2019-05-21 13:54:00,20
2019-05-21 13:59:00,20
2019-05-21 14:01:00,7
2019-05-21 14:02:00,26
2019-05-21 14:03:00,7
2019-05-21 14:04:00,13
2019-05-21 14:05:00,15
2019-05-21 14:06:00,22
2019-05-21 14:07:00,30
2019-05-21 14:08:00,18
2019-05-21 14:09:00,20
2019-05-21 14:10:00,27
2019-05-21 14:11:00,33
2019-05-21 14:12:00,16
2019-06-07 14:23:00,30
2019-06-07 14:24:00,30
2019-06-07 14:27:00,28
2019-06-07 14:30:00,23
2019-06-07 14:31:00,7
2019-06-07 14:32:00,28
2019-06-07 14:35:00,26
2019-06-07 14:41:00,20
2019-06-07 14:42:00,10
2019-06-07 14:43:00,28
2019-06-07 14:44:00,32
2019-06-07 14:45:00,44
2019-06-07 14:46:00,8
2019-06-07 14:47:00,35
2019-06-07 14:48:00,40
2019-06-07 14:49:00,18
2019-06-07 14:50:00,34
2019-06-07 14:51:00,33
2019-06-07 14:52:00,19
2019-06-07 14:53:00,42
2019-06-07 14:54:00,9
2019-06-07 14:56:00,17
2019-06-07 14:57:00,9
2019-06-07 14:58:00,28
2019-06-07 15:05:00,30
2019-06-07 15:07:00,28
2019-06-07 15:08:00,30
2019-06-07 15:09:00,40
2019-06-07 15:10:00,27
2019-06-07 15:11:00,19
2019-06-07 15:21:00,26
2019-06-07 15:22:00,32
2019-06-07 15:23:00,28
2019-06-07 15:24:00,30
2019-06-07 15:25:00,43
2019-06-07 15:26:00,41
2019-06-07 15:27:00,28
2019-06-07 15:31:00,28
2019-06-07 15:32:00,22
2019-06-07 15:33:00,34
2019-06-07 15:34:00,26
2019-06-07 15:35:00,28
2019-06-07 15:36:00,28
2019-06-07 15:40:00,18
2019-06-07 15:41:00,12
2019-06-07 15:42:00,28
2019-06-07 15:43:00,30
2019-06-07 15:44:00,28
2019-06-07 15:45:00,26
2019-06-07 15:46:00,29
2019-06-07 15:47:00,37
2019-06-07 15:48:00,42
2019-06-07 15:49:00,30
2019-06-07 15:50:00,30
2019-06-07 15:51:00,28
2019-06-07 15:52:00,42
2019-06-07 15:53:00,44
2019-06-07 15:54:00,30
2019-06-07 15:55:00,21
