4,"select top # p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z from photoobj p, dbo.fgetNearByObjEq (# , # , #) n where p.objid = n.objid"
2019-06-13 14:42:00,2
2019-06-13 14:43:00,2
