3,"SELECT DISTINCT p.ra, p.dec, p.g, p.mjd FROM PhotoObjAll AS p WHERE ( (p.ra between # and #) and (p.dec between # and #) )"
2019-12-07 18:32:00,1
2019-12-07 18:34:00,1
2019-12-07 18:46:00,1
