1545,"SELECT p.objID, p.ra, p.dec, p.dered_u, p.dered_g, p.dered_r, p.dered_i, p.dered_z, p.clean, p.flags, z.z as photoz, z.zErr as photozErr, s.specObjID as specObjID, s.z_noqso as specz_noqso, s.zErr_noqso as speczErr_noqso, s.zWarning_noqso as speczWarning_noqso, s.class, dbo.fPhotoFlagsN (p.flags) as note from Galaxy as p LEFT OUTER JOIN photoz as z ON z.ObjID = p.ObjID LEFT OUTER JOIN specObjAll as s ON s.bestObjID = p.ObjID WHERE ( (flags & #) ! =#) AND ( (flags & #) = #) AND ( (flags & #) = #) AND ( (flags & #) ! =#) AND # < = p.ra and p.ra < = # and # < = p.dec and p.dec < = #"
2019-05-29 11:47:00,1
2019-05-29 11:48:00,4
2019-05-29 11:49:00,8
2019-05-29 11:50:00,5
2019-05-29 11:51:00,6
2019-05-29 11:52:00,6
2019-05-29 11:53:00,6
2019-05-29 11:54:00,3
2019-05-29 11:55:00,2
2019-05-29 11:56:00,4
2019-05-29 11:57:00,3
2019-05-29 11:58:00,2
2019-05-29 11:59:00,5
2019-05-29 12:00:00,3
2019-05-29 12:01:00,6
2019-05-29 12:02:00,6
2019-05-29 12:03:00,5
2019-05-29 12:04:00,1
2019-05-29 12:05:00,2
2019-05-29 12:06:00,7
2019-05-29 12:07:00,3
2019-05-29 12:08:00,1
2019-05-29 12:09:00,2
2019-05-29 12:10:00,8
2019-05-29 12:11:00,2
2019-05-29 12:12:00,3
2019-05-29 12:13:00,3
2019-05-29 12:14:00,1
2019-05-29 12:15:00,1
2019-05-29 12:16:00,1
2019-05-29 12:17:00,1
2019-05-29 12:18:00,2
2019-05-29 12:19:00,1
2019-05-29 12:20:00,3
2019-05-29 12:21:00,1
2019-05-31 11:19:00,1
2019-05-31 11:20:00,1
2019-05-31 11:21:00,2
2019-05-31 11:22:00,1
2019-05-31 11:23:00,2
2019-05-31 11:24:00,2
2019-05-31 11:25:00,5
2019-05-31 11:26:00,2
2019-05-31 11:27:00,4
2019-05-31 11:28:00,5
2019-05-31 11:29:00,4
2019-05-31 11:30:00,4
2019-05-31 11:31:00,1
2019-05-31 11:32:00,2
2019-05-31 11:33:00,2
2019-05-31 11:34:00,4
2019-05-31 11:35:00,4
2019-05-31 11:36:00,5
2019-05-31 11:37:00,3
2019-05-31 11:38:00,1
2019-05-31 11:39:00,1
2019-05-31 11:40:00,2
2019-05-31 11:41:00,1
2019-05-31 11:42:00,3
2019-05-31 11:43:00,5
2019-05-31 11:44:00,3
2019-05-31 11:45:00,3
2019-05-31 11:46:00,4
2019-05-31 11:47:00,5
2019-05-31 11:48:00,5
