2,"SELECT p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, FROM PhotoObj WHERE p.ra BETWEEN # AND # AND p.dec BETWEEN # AND #"
2019-05-26 03:51:00,1
2019-05-26 03:53:00,1
