4,"SELECT TOP # a.OBJID AS OBJID, n.specObjID AS sdssid, /* n.z AS zsp_sp_n_fun, */ sa.z AS zsp_sp_sa, n.distance AS SEPARATION_AKARI_SDSS1# FROM MyDB.akari AS a OUTER APPLY dbo.fGetNearestSpecObjIdEq (a.RA, a.DEC, #) AS n LEFT JOIN SpecObjAll AS sa ON sa.specObjId = n.specObjId where a.OBJID > # and a.OBJID < #"
2019-08-18 19:28:00,1
2019-08-18 19:35:00,1
2019-08-18 19:36:00,2
