6,"SELECT g.objid, g.ra, g.dec, g.dered_u as u, g.dered_g as g, g.dered_r as r, g.dered_i as i, g.clean, s.z as z_spec FROM galaxy AS g JOIN SpecObj AS s ON s.bestobjid = g.objid JOIN dbo.fGetNearbyObjEq (#, #, #) AS n ON g.objid = n.objid WHERE clean = #"
2019-04-17 14:58:00,1
2019-04-17 15:10:00,4
2019-04-17 15:11:00,1
