11,"SELECT TOP # p.objid, p.ra, p.dec, p.run, p.rerun, p.camcol, p.field, p.type, pz.z, p.psfmag_u-p.extinction_u AS mag_u, p.psfmag_g-p.extinction_g AS mag_g, p.psfmag_r-p.extinction_r AS mag_r, p.psfmag_i-p.extinction_i AS mag_i, p.psfmag_z-p.extinction_z AS mag_z, w.w1mpro AS w1, w.w2mpro AS w2, w.w3mpro AS w3, w.w4mpro AS w4, f.peak, f.integr, f.rms FROM PhotoObj AS p LEFT JOIN SpecObj AS s ON s.bestobjid = p.objid JOIN PhotoZ as pz ON pz.objid = p.objid JOIN wise_xmatch AS xm ON p.objid = xm.sdss_objid JOIN FIRST AS f ON p.objid = f.objid JOIN wise_allsky AS w ON xm.wise_cntr = w.cntr WHERE s.bestobjid IS # AND (p.psfmag_r-p.extinction_r > #) into myDB.test"
2019-03-21 11:23:00,1
2019-03-28 11:45:00,1
2019-04-02 06:33:00,1
2019-04-02 06:37:00,1
2019-04-02 06:49:00,1
2019-04-02 06:51:00,2
2019-04-02 10:11:00,1
2019-04-02 10:24:00,1
2019-04-02 13:49:00,1
2019-04-02 13:50:00,1
