2682,select count (*) from PhotoObjAll where objID > = # and objID < = #
2019-12-30 11:10:00,3
2019-12-30 11:11:00,383
2019-12-30 11:12:00,624
2019-12-30 11:13:00,518
2019-12-30 11:14:00,252
2019-12-30 11:15:00,449
2019-12-30 11:16:00,401
2019-12-30 11:17:00,30
2019-12-30 12:36:00,1
2019-12-30 12:37:00,1
2019-12-30 13:05:00,1
2019-12-30 13:08:00,1
2019-12-30 13:09:00,1
2019-12-30 13:11:00,1
2019-12-30 13:23:00,1
2019-12-30 13:24:00,1
2019-12-30 13:25:00,8
2019-12-30 13:26:00,4
2019-12-30 13:35:00,1
2019-12-30 14:00:00,1
