26,"select ra, dec, #*LOG1# (psfFlux_u) + # - extinction_u + # as psfPogCorr_u, #*LOG1# (psfFlux_g) + # - extinction_g + # as psfPogCorr_g, #*LOG1# (psfFlux_r) + # - extinction_r + # as psfPogCorr_r, #*LOG1# (psfFlux_i) + # - extinction_i + # as psfPogCorr_i, #/SQRT (psfFluxIvar_u) /psfFlux_u as psfPogErr_u, #/SQRT (psfFluxIvar_g) /psfFlux_g as psfPogErr_g, #/SQRT (psfFluxIvar_r) /psfFlux_r as psfPogErr_r, #/SQRT (psfFluxIvar_i) /psfFlux_i as psfPogErr_i from star as s where ra between # and # and dec between #e-# and # and s.clean = # and psfFlux_u > # and psfFlux_g > # and psfFlux_r > # and psfFlux_i > # and #/SQRT (psfFluxIvar_u) /psfFlux_u < # and #/SQRT (psfFluxIvar_g) /psfFlux_g < # and #/SQRT (psfFluxIvar_r) /psfFlux_r < # and #/SQRT (psfFluxIvar_i) /psfFlux_i < #"
2019-08-18 20:58:00,1
2019-08-18 21:43:00,1
2019-08-18 22:32:00,1
2019-08-18 22:39:00,1
2019-08-18 23:12:00,1
2019-08-19 00:19:00,1
2019-08-19 00:52:00,1
2019-08-19 01:06:00,1
2019-08-19 01:15:00,1
2019-08-19 01:52:00,1
2019-08-19 02:27:00,1
2019-08-19 02:35:00,1
2019-08-19 03:28:00,1
2019-08-19 03:48:00,1
2019-08-19 04:25:00,1
2019-08-19 04:31:00,1
2019-08-19 04:49:00,1
2019-08-19 05:06:00,1
2019-08-19 05:43:00,1
2019-08-19 05:53:00,1
2019-08-19 07:32:00,1
2019-08-19 07:51:00,1
2019-08-19 08:25:00,1
2019-08-19 08:49:00,1
2019-08-19 09:02:00,1
2019-08-19 09:15:00,1
