36,"SELECT specObjID, z FROM SpecObj WHERE class = # AND zWarning = # AND z BETWEEN # AND #"
2019-03-10 20:59:00,1
2019-03-10 21:02:00,2
2019-03-10 21:03:00,1
2019-03-10 21:04:00,2
2019-03-10 21:05:00,1
2019-03-10 21:06:00,1
2019-03-10 21:07:00,2
2019-03-10 21:08:00,1
2019-03-10 23:44:00,1
2019-03-11 10:45:00,1
2019-03-11 10:46:00,1
2019-03-11 10:47:00,2
2019-03-15 19:41:00,1
2019-03-15 19:43:00,2
2019-03-15 19:48:00,1
2019-03-15 19:50:00,1
2019-03-21 18:06:00,1
2019-03-22 10:49:00,1
2019-03-22 10:55:00,1
2019-03-25 09:25:00,2
2019-03-25 09:57:00,2
2019-05-08 21:31:00,1
2019-05-08 21:32:00,1
2019-05-08 21:33:00,1
2019-05-08 21:34:00,1
2019-05-08 21:35:00,2
2019-05-08 21:36:00,1
2019-05-08 21:44:00,1
