4,"SELECT TOP # p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, s.specobjid , s.z AS zs, s.class, s.subclass, s.zErr, w.w1mag AS w1, w.w2mag AS w2 FROM WISE_xmatch as xm JOIN PhotoObjAll as p on xm.sdss_objid = p.objid JOIN WISE_allsky as w on xm.wise_cntr = w.cntr JOIN SpecObjAll AS s ON s.bestobjid = p.objid"
2019-08-13 11:34:00,2
2019-08-13 11:36:00,2
