22,select count (*) into mydb.count_# from SpecObjAll as soa
2019-10-07 18:34:00,1
2019-10-07 18:45:00,1
2019-10-07 18:48:00,1
2019-10-07 18:49:00,1
2019-10-07 18:50:00,1
2019-10-07 18:51:00,1
2019-10-07 18:52:00,1
2019-10-07 18:53:00,1
2019-10-07 18:57:00,1
2019-10-07 18:58:00,1
2019-10-07 18:59:00,1
2019-10-08 11:05:00,1
2019-10-08 11:25:00,1
2019-10-08 12:07:00,1
2019-10-08 12:09:00,1
2019-10-08 12:10:00,1
2019-10-08 12:22:00,2
2019-10-08 12:23:00,1
2019-10-08 12:24:00,1
2019-10-08 12:26:00,2
