14,"SELECT TOP # str (p.ra, #, #) as ra, str (p.[dec], #, #) as dec, p.u, p.g, p.r, p.i, p.z, p.modelMagErr_u, p.modelMagErr_g, p.modelMagErr_r, p.modelMagErr_i, p.modelMagErr_z, p.psfMag_u, p.psfMag_g, p.psfMag_r, p.psfMag_i, p.psfMag_z, p.psfMagErr_u, p.psfMagErr_g, p.psfMagErr_r, p.psfMagErr_i, p.psfMagErr_z, p.petroMag_u, p.petroMag_g, p.petroMag_r, p.petroMag_i, p.petroMag_z, p.petroMagErr_u, p.petroMagErr_g, p.petroMagErr_r, p.petroMagErr_i, p.petroMagErr_z, str (p.u - p.g, #, #) as ugModelColor, str (p.g - p.r, #, #) as grModelColor, str (p.r - p.i, #, #) as riModelColor, str (p.i - p.z, #, #) as izModelColor, str (p.u - p.g, #, #) as ugModelColor, str (p.g - p.r, #, #) as grModelColor, str (p.r - p.i, #, #) as riModelColor, str (p.i - p.z, #, #) as izModelColor, p.extinction_g, p.extinction_i, p.extinction_r, p.extinction_u, p.extinction_z, p.modelMag_g, p.modelMag_i, p.modelMag_r, p.modelMag_u, p.modelMag_z, p.probPSF, IS# (s.bestObjID, #) as bestObjID, IS# (s.plate, #) as plate, IS# (s.specClass, #) as specClass, IS# (s.specObjID, #) as specObjID, IS# (s.z, #) as z FROM BESTDR7..Galaxy AS p LEFT OUTER JOIN BESTDR7..SpecObj s ON p.objID = s.bestObjID WHERE p.u > # AND p.u < # AND s.specClass = #"
2019-10-01 08:47:00,1
2019-10-01 08:48:00,1
2019-10-01 08:51:00,1
2019-10-01 08:52:00,2
2019-10-01 08:58:00,1
2019-10-01 08:59:00,2
2019-10-01 09:15:00,1
2019-10-01 09:16:00,1
2019-10-01 09:17:00,1
2019-10-01 09:20:00,1
2019-10-01 09:23:00,1
2019-10-01 09:28:00,1
