98,"SELECT p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, s.specobjid, s.class, s.z as redshift FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.ra between # and # and p.dec between # and #"
2019-10-24 00:16:00,1
2019-10-24 03:09:00,1
2019-10-26 21:28:00,1
2019-10-27 22:21:00,1
2019-10-28 15:28:00,1
2019-10-28 19:49:00,1
2019-10-29 19:13:00,1
2019-10-29 19:20:00,1
2019-10-29 19:21:00,1
2019-10-29 20:28:00,1
2019-10-30 12:33:00,1
2019-10-30 12:51:00,1
2019-10-30 16:43:00,1
2019-10-31 00:30:00,1
2019-10-31 03:00:00,1
2019-10-31 03:03:00,1
2019-10-31 03:08:00,1
2019-10-31 03:09:00,1
2019-10-31 03:10:00,1
2019-10-31 03:12:00,2
2019-10-31 03:13:00,1
2019-10-31 03:14:00,1
2019-10-31 04:38:00,2
2019-10-31 04:42:00,3
2019-10-31 04:43:00,9
2019-10-31 04:44:00,3
2019-10-31 04:46:00,1
2019-10-31 04:47:00,1
2019-10-31 04:48:00,1
2019-10-31 06:05:00,2
2019-10-31 06:06:00,5
2019-10-31 06:09:00,1
2019-10-31 06:10:00,4
2019-10-31 18:41:00,1
2019-10-31 19:50:00,1
2019-10-31 19:54:00,1
2019-10-31 20:32:00,1
2019-10-31 21:41:00,1
2019-10-31 21:58:00,1
2019-11-01 00:05:00,1
2019-11-01 00:37:00,1
2019-11-01 01:20:00,1
2019-11-01 01:21:00,1
2019-11-01 02:20:00,1
2019-11-01 03:46:00,1
2019-11-01 14:26:00,1
2019-11-01 14:37:00,1
2019-11-01 15:05:00,1
2019-11-01 17:12:00,1
2019-11-01 17:18:00,1
2019-11-01 18:13:00,1
2019-11-01 20:11:00,1
2019-11-01 20:18:00,1
2019-11-01 21:58:00,1
2019-11-01 22:02:00,1
2019-11-02 00:45:00,1
2019-11-02 01:06:00,1
2019-11-02 02:22:00,1
2019-11-02 02:23:00,1
2019-11-02 04:11:00,1
2019-11-02 05:24:00,1
2019-11-02 06:15:00,1
2019-11-02 06:39:00,1
2019-11-02 07:01:00,1
2019-11-02 07:26:00,1
2019-11-02 07:55:00,1
2019-11-02 08:18:00,1
2019-11-02 19:49:00,1
2019-11-03 14:57:00,1
2019-11-03 23:03:00,1
2019-11-03 23:04:00,1
2019-11-04 02:04:00,2
2019-11-04 18:29:00,1
2019-11-12 19:35:00,1
2019-11-13 23:51:00,1
