646,"SELECT TOP # obj.run, obj.camCol, str (obj.field, #) as field, str (obj.rowc, #, #) as rowc, str (obj.colc, #, #) as colc, str (dbo.fObj (obj.objId) , #) as id, str (obj.psfMag_g - #*obj.extinction_g, #, #) as g, str (obj.psfMag_r - #*obj.extinction_r, #, #) as r, str (obj.psfMag_i - #*obj.extinction_i, #, #) as i, str (obj.psfMag_z - #*obj.extinction_z, #, #) as z, str (#*distance, #, #) as D, dbo.fField (neighborObjId) as nfield, str (dbo.fObj (neighborObjId) , #) as nid FROM (SELECT obj.objId, run, camCol, field, rowc, colc, psfMag_u, extinction_u, psfMag_g, extinction_g, psfMag_r, extinction_r, psfMag_i, extinction_i, psfMag_z, extinction_z, NN.neighborObjId, NN.distance FROM PhotoObj as obj JOIN neighbors as NN on obj.objId = NN.objId WHERE #*NN.distance between # and # and NN.mode = # and NN.neighborMode = # and run = # and camCol = # and obj.type = # and (obj.flags & #) = # and nchild = # and obj.psfMag_i < # and (g - r between # and # and r - i between # and #) ) as obj JOIN PhotoObj as nobj on nobj.objId = obj.neighborObjId WHERE nobj.run = obj.run and (abs (obj.psfMag_g - nobj.psfMag_g) < # or abs (obj.psfMag_r - nobj.psfMag_r) < # or abs (obj.psfMag_i - nobj.psfMag_i) < #)"
2019-01-01 09:00:00,1
2019-01-02 00:56:00,1
2019-01-03 11:08:00,1
2019-01-03 13:38:00,1
2019-01-05 04:58:00,1
2019-01-05 07:24:00,1
2019-01-05 11:51:00,1
2019-01-07 23:54:00,1
2019-01-08 03:03:00,1
2019-01-08 05:25:00,1
2019-01-08 14:48:00,1
2019-01-09 20:52:00,1
2019-01-10 01:27:00,1
2019-01-10 20:09:00,1
2019-01-10 21:57:00,1
2019-01-15 23:24:00,1
2019-01-16 02:11:00,1
2019-01-17 04:30:00,1
2019-01-17 22:58:00,1
2019-01-19 17:17:00,1
2019-01-20 18:29:00,1
2019-01-22 08:14:00,1
2019-01-22 13:09:00,1
2019-01-24 12:39:00,1
2019-01-25 11:22:00,1
2019-01-25 12:53:00,1
2019-01-25 12:55:00,1
2019-01-25 12:58:00,1
2019-01-26 10:33:00,1
2019-01-26 20:01:00,1
2019-01-27 09:44:00,1
2019-01-27 21:38:00,1
2019-01-28 13:54:00,1
2019-01-28 14:27:00,1
2019-01-29 00:42:00,1
2019-02-01 07:27:00,1
2019-02-01 21:13:00,1
2019-02-02 04:06:00,1
2019-02-02 07:41:00,1
2019-02-02 14:36:00,1
2019-02-03 14:43:00,1
2019-02-04 05:42:00,1
2019-02-06 08:20:00,1
2019-02-08 04:22:00,1
2019-02-08 16:58:00,1
2019-02-08 20:32:00,1
2019-02-08 21:37:00,1
2019-02-11 13:34:00,1
2019-02-11 21:32:00,1
2019-02-11 22:35:00,1
2019-02-12 14:13:00,1
2019-02-12 15:12:00,1
2019-02-12 18:46:00,1
2019-02-12 19:03:00,1
2019-02-13 12:21:00,1
2019-02-14 12:15:00,1
2019-02-15 04:02:00,1
2019-02-15 06:33:00,1
2019-02-18 15:00:00,1
2019-02-18 23:20:00,1
2019-02-20 01:06:00,1
2019-02-20 11:00:00,1
2019-02-20 21:32:00,1
2019-02-21 01:57:00,1
2019-02-21 09:46:00,1
2019-02-21 13:00:00,1
2019-02-22 01:13:00,1
2019-02-25 18:03:00,1
2019-02-26 01:24:00,1
2019-02-27 08:47:00,1
2019-02-28 01:47:00,1
2019-02-28 07:59:00,1
2019-02-28 09:20:00,1
2019-02-28 13:19:00,1
2019-03-01 01:22:00,1
2019-03-01 01:47:00,1
2019-03-01 02:18:00,1
2019-03-01 03:36:00,1
2019-03-01 09:02:00,1
2019-03-01 18:30:00,1
2019-03-01 21:15:00,1
2019-03-03 02:19:00,1
2019-03-03 12:15:00,1
2019-03-03 19:01:00,1
2019-03-04 10:09:00,1
2019-03-04 22:59:00,1
2019-03-05 12:47:00,1
2019-03-06 13:56:00,1
2019-03-06 20:58:00,1
2019-03-07 00:11:00,1
2019-03-07 11:03:00,1
2019-03-07 15:01:00,1
2019-03-08 11:18:00,1
2019-03-08 11:48:00,1
2019-03-08 14:33:00,1
2019-03-08 16:24:00,1
2019-03-08 20:40:00,1
2019-03-08 22:32:00,1
2019-03-09 01:18:00,1
2019-03-09 02:02:00,1
2019-03-09 14:29:00,1
2019-03-09 23:28:00,1
2019-03-10 01:48:00,1
2019-03-10 14:21:00,1
2019-03-11 02:14:00,1
2019-03-11 07:53:00,1
2019-03-11 16:53:00,1
2019-03-13 02:54:00,1
2019-03-14 10:20:00,1
2019-03-14 23:21:00,1
2019-03-15 01:30:00,1
2019-03-15 03:17:00,1
2019-03-15 04:06:00,1
2019-03-15 17:46:00,1
2019-03-16 00:35:00,1
2019-03-16 23:14:00,1
2019-03-17 11:50:00,1
2019-03-17 22:03:00,1
2019-03-19 17:37:00,1
2019-03-20 13:04:00,1
2019-03-21 01:16:00,1
2019-03-21 16:50:00,1
2019-03-24 17:39:00,1
2019-03-25 01:29:00,1
2019-03-25 05:09:00,1
2019-03-25 05:17:00,1
2019-03-25 06:18:00,1
2019-03-25 09:29:00,1
2019-03-26 04:31:00,1
2019-03-26 08:19:00,1
2019-03-26 08:59:00,1
2019-03-26 10:01:00,1
2019-03-26 10:39:00,1
2019-03-28 17:53:00,1
2019-03-28 22:16:00,1
2019-03-28 23:52:00,1
2019-03-30 00:01:00,1
2019-03-30 04:05:00,1
2019-03-30 09:04:00,1
2019-03-30 14:09:00,1
2019-03-31 12:49:00,1
2019-03-31 20:11:00,1
2019-04-01 19:22:00,1
2019-04-01 20:30:00,1
2019-04-02 10:02:00,1
2019-04-04 08:19:00,1
2019-04-04 12:50:00,1
2019-04-04 13:43:00,1
2019-04-05 08:46:00,1
2019-04-07 14:49:00,1
2019-04-09 10:43:00,1
2019-04-10 18:30:00,1
2019-04-10 21:39:00,1
2019-04-11 01:30:00,1
2019-04-11 08:06:00,1
2019-04-13 10:42:00,1
2019-04-13 15:00:00,1
2019-04-14 11:56:00,1
2019-04-15 12:18:00,1
2019-04-15 22:00:00,1
2019-04-16 02:27:00,1
2019-04-16 07:05:00,1
2019-04-18 09:00:00,1
2019-04-18 09:13:00,1
2019-04-18 10:39:00,1
2019-04-18 14:09:00,1
2019-04-18 21:16:00,1
2019-04-19 00:43:00,1
2019-04-20 20:39:00,1
2019-04-22 09:14:00,1
2019-04-22 13:51:00,1
2019-04-22 22:30:00,1
2019-04-23 23:43:00,1
2019-04-25 15:17:00,1
2019-04-25 23:45:00,1
2019-04-26 03:09:00,1
2019-04-26 04:54:00,1
2019-04-27 06:47:00,1
2019-04-28 02:52:00,1
2019-04-28 05:55:00,1
2019-04-28 09:17:00,1
2019-04-30 09:56:00,1
