7,"select s.*, x.match_dist, w.cntr, w.w1mpro, w.w2mpro from mydb.sdss_all_small_dr1# as s inner join photoobjall as p on p.objid = s.objid inner join wise_xmatch as x on x.sdss_objid = s.objid inner join wise_allsky as w on w.cntr = x.wise_cntr into mydb.sdss_all_small_dr1#_allwise"
2019-12-09 04:37:00,4
2019-12-09 04:38:00,2
2019-12-09 14:33:00,1
