2,"SELECT s.ra, s.dec, s.z, s.zErr, s.velDisp, s.velDispErr FROM SpecObjAll as s join SpecPhotoALL as i on s.specObjID = i.specObjID WHERE s.ra BETWEEN # AND # AND s.dec BETWEEN # AND # AND s.class = # AND s.subclass = # AND s.zWarning = # AND s.programname = # AND (i.petroMag_r-i.extinction_r) < #"
2019-11-07 20:49:00,1
2019-11-07 20:50:00,1
