93,"select floor (px/#) *# px, floor (py/#) *# py, avg (CMembrane5#) PDL1, avg (CMembrane6#) PD1 from CellTag3 where sampleid = # and tdist< # group by floor (px/#) *#, floor (py/#) *#"
2019-10-08 17:19:00,1
2019-10-08 17:22:00,1
2019-10-08 17:30:00,1
2019-10-08 17:38:00,1
2019-10-09 00:00:00,1
2019-10-09 00:01:00,1
2019-10-09 00:02:00,2
2019-10-09 00:03:00,1
2019-10-09 00:08:00,1
2019-10-09 00:16:00,1
2019-10-09 00:18:00,1
2019-10-09 09:40:00,1
2019-10-09 10:03:00,1
2019-10-09 10:19:00,1
2019-10-09 13:06:00,1
2019-10-09 13:12:00,1
2019-10-09 13:13:00,1
2019-10-09 13:14:00,2
2019-10-09 13:15:00,4
2019-10-09 13:16:00,3
2019-10-09 13:17:00,5
2019-10-09 13:18:00,3
2019-10-09 13:19:00,2
2019-10-09 13:20:00,3
2019-10-09 13:21:00,4
2019-10-09 13:23:00,4
2019-10-09 13:25:00,3
2019-10-09 13:26:00,4
2019-10-09 13:27:00,3
2019-10-09 13:28:00,3
2019-10-09 13:29:00,5
2019-10-09 13:30:00,2
2019-10-09 13:31:00,2
2019-10-09 13:33:00,2
2019-10-09 13:34:00,3
2019-10-09 13:35:00,7
2019-10-09 13:37:00,1
2019-10-15 09:58:00,1
2019-10-15 10:08:00,1
2019-10-15 10:09:00,2
2019-10-15 10:11:00,1
2019-10-15 10:12:00,1
2019-10-15 10:15:00,1
2019-10-15 10:28:00,1
2019-10-15 10:34:00,1
2019-10-15 10:36:00,1
