87,"SELECT TOP # p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z FROM PhotoObj AS p WHERE p.ra BETWEEN # AND # AND p.dec BETWEEN # AND # AND p.g < #"
2019-09-07 17:12:00,2
2019-09-07 17:14:00,1
2019-09-07 17:16:00,1
2019-09-07 17:18:00,1
2019-09-07 17:25:00,1
2019-09-07 17:26:00,1
2019-09-07 17:28:00,1
2019-09-07 17:29:00,1
2019-09-07 17:36:00,1
2019-09-07 18:51:00,1
2019-09-07 19:34:00,1
2019-09-08 10:37:00,1
2019-09-08 11:52:00,1
2019-09-08 12:00:00,1
2019-09-08 12:33:00,1
2019-09-08 12:38:00,1
2019-09-08 13:26:00,1
2019-09-08 14:47:00,1
2019-09-08 14:55:00,1
2019-09-08 15:58:00,1
2019-09-08 16:00:00,1
2019-09-08 16:07:00,1
2019-09-10 12:12:00,1
2019-09-10 19:00:00,1
2019-09-10 19:05:00,1
2019-09-10 20:01:00,1
2019-09-10 20:04:00,1
2019-09-10 20:05:00,1
2019-09-10 20:06:00,1
2019-09-13 15:22:00,1
2019-09-13 15:31:00,1
2019-09-13 15:38:00,1
2019-09-13 15:39:00,1
2019-09-13 15:43:00,1
2019-09-13 15:45:00,1
2019-09-13 15:46:00,1
2019-09-17 11:25:00,1
2019-09-17 11:29:00,1
2019-09-18 13:08:00,1
2019-09-19 14:44:00,1
2019-09-19 15:48:00,1
2019-09-19 15:58:00,1
2019-09-19 16:11:00,1
2019-09-19 16:35:00,1
2019-09-19 16:36:00,1
2019-09-19 16:56:00,1
2019-09-20 14:07:00,1
2019-09-20 15:08:00,1
2019-09-22 01:29:00,1
2019-09-22 04:49:00,1
2019-09-24 12:26:00,1
2019-09-24 12:49:00,1
2019-09-30 17:40:00,1
2019-09-30 17:56:00,1
2019-09-30 18:00:00,1
2019-09-30 18:01:00,2
2019-09-30 18:15:00,1
2019-09-30 18:29:00,1
2019-09-30 18:31:00,1
2019-10-01 11:04:00,1
2019-10-01 11:29:00,1
2019-10-01 11:33:00,1
2019-10-01 12:58:00,1
2019-10-01 13:31:00,1
2019-10-01 14:44:00,1
2019-10-01 14:49:00,1
2019-10-01 16:32:00,1
2019-10-01 16:44:00,1
2019-10-01 16:57:00,1
2019-10-01 17:00:00,1
2019-10-01 17:13:00,1
2019-10-01 17:14:00,1
2019-10-01 17:33:00,1
2019-10-01 17:43:00,1
2019-10-01 17:44:00,1
2019-10-01 17:51:00,1
2019-10-01 17:53:00,1
2019-10-01 17:57:00,1
2019-10-01 18:01:00,1
2019-10-01 18:02:00,1
2019-10-01 18:03:00,1
2019-10-01 18:04:00,1
2019-10-01 18:07:00,1
2019-12-30 02:05:00,1
2019-12-30 02:26:00,1
