26,"select p.objid, p.ra, p.dec from photoobj p, specobj s, dbo.fgetNearByObjEq (#, #, #) n where p.objid = s.bestobjid and p.objid = n.objid and s.bestobjid = n.objid and p.g < # and (s.class = #)"
2019-01-01 19:17:00,2
2019-01-01 19:18:00,2
2019-01-01 19:19:00,2
2019-01-01 19:20:00,2
2019-01-01 19:21:00,2
2019-01-01 19:22:00,1
2019-01-01 19:23:00,1
2019-01-01 19:24:00,1
2019-01-25 01:26:00,1
2019-01-25 01:30:00,1
2019-01-25 01:52:00,1
2019-01-25 01:54:00,1
2019-01-25 01:55:00,4
2019-01-25 01:56:00,3
2019-01-25 01:57:00,2
