182,"SELECT TOP # s.apogee_id, s.ra, s.dec, s.glon, s.glat, s.vhelio_avg, s.vscatter, a.teff, a.logg, a.metals, a.alphafe, dbo.fApogeeAspcapFlagN (a.aspxcapflag) , dbo.fApogeeStarFlagN (s.starflag) FROM apogeeStar s JOIN aspcapStar a on a.apstar_id = s.apstar_id WHERE (a.aspxcapflag & dbo.fApogeeAspcapFlag (#) ) = # and a.teff > # and a.metals < #"
2019-01-01 10:08:00,1
2019-01-02 01:58:00,1
2019-01-05 09:37:00,1
2019-01-08 06:56:00,1
2019-01-10 22:48:00,1
2019-01-24 13:51:00,1
2019-01-25 17:48:00,1
2019-01-27 22:49:00,1
2019-01-28 16:17:00,1
2019-01-29 03:50:00,1
2019-02-02 15:49:00,1
2019-02-02 18:38:00,1
2019-02-08 05:22:00,1
2019-02-11 22:23:00,1
2019-02-12 19:53:00,1
2019-02-12 19:58:00,1
2019-02-15 18:19:00,1
2019-02-17 17:27:00,1
2019-02-19 00:15:00,1
2019-02-26 02:59:00,1
2019-02-27 09:40:00,1
2019-02-28 01:56:00,1
2019-02-28 09:01:00,1
2019-03-01 22:09:00,1
2019-03-04 18:26:00,1
2019-03-05 10:55:00,1
2019-03-07 14:11:00,1
2019-03-08 07:55:00,1
2019-03-08 22:06:00,1
2019-03-09 12:21:00,1
2019-03-11 11:19:00,1
2019-03-13 07:45:00,1
2019-03-13 09:53:00,1
2019-03-14 01:57:00,1
2019-03-14 08:40:00,1
2019-03-15 09:21:00,1
2019-03-15 19:44:00,1
2019-03-19 10:27:00,1
2019-03-19 12:07:00,1
2019-03-20 10:53:00,1
2019-03-23 09:11:00,1
2019-03-25 02:27:00,1
2019-03-26 11:16:00,1
2019-03-28 18:45:00,1
2019-03-30 10:03:00,1
2019-04-01 20:16:00,1
2019-04-04 13:45:00,1
2019-04-06 19:13:00,1
2019-04-07 19:19:00,1
2019-04-14 13:09:00,1
2019-04-15 20:18:00,1
2019-04-18 10:13:00,2
2019-04-20 04:00:00,1
2019-04-21 13:21:00,1
2019-04-22 19:57:00,1
2019-04-22 23:41:00,1
2019-04-24 17:43:00,1
2019-04-28 03:54:00,1
2019-04-30 11:50:00,1
2019-05-03 23:00:00,1
2019-05-06 08:53:00,1
2019-05-11 07:46:00,1
2019-05-12 17:39:00,1
2019-05-14 08:32:00,1
2019-05-15 23:17:00,1
2019-05-17 05:04:00,1
2019-05-17 05:11:00,1
2019-05-20 19:38:00,1
2019-05-21 06:57:00,1
2019-05-24 20:08:00,1
2019-05-25 07:33:00,1
2019-05-29 04:49:00,1
2019-05-30 04:18:00,1
2019-05-31 17:59:00,1
2019-06-03 22:08:00,1
2019-06-05 18:43:00,1
2019-06-11 01:59:00,1
2019-06-13 22:36:00,1
2019-06-14 21:04:00,1
2019-06-15 16:31:00,1
2019-06-16 18:00:00,1
2019-06-18 17:22:00,1
2019-06-19 14:16:00,1
2019-06-20 06:53:00,1
2019-06-23 18:04:00,1
2019-06-24 10:00:00,1
2019-06-27 03:10:00,1
2019-06-27 04:41:00,1
2019-06-27 20:27:00,1
2019-07-02 19:05:00,1
2019-07-02 19:13:00,1
2019-07-03 10:19:00,1
2019-07-05 20:07:00,1
2019-07-06 05:02:00,1
2019-07-07 05:13:00,1
2019-07-08 05:56:00,1
2019-07-12 03:35:00,1
2019-07-14 02:27:00,1
2019-07-20 05:22:00,1
2019-07-23 22:25:00,1
2019-07-28 08:49:00,1
2019-07-31 12:26:00,1
2019-08-01 03:07:00,1
2019-08-04 21:50:00,1
2019-08-08 01:00:00,1
2019-08-09 15:00:00,1
2019-08-11 01:18:00,1
2019-08-12 17:11:00,1
2019-08-16 13:06:00,1
2019-08-16 17:04:00,1
2019-08-27 23:04:00,1
2019-08-28 00:26:00,1
2019-08-30 14:02:00,1
2019-09-01 08:43:00,1
2019-09-02 18:24:00,1
2019-09-04 03:26:00,1
2019-09-07 17:43:00,1
2019-09-10 08:30:00,1
2019-09-12 09:15:00,1
2019-09-18 06:29:00,1
2019-09-18 14:21:00,1
2019-09-18 18:01:00,1
2019-09-18 19:28:00,1
2019-09-20 00:58:00,1
2019-09-20 01:31:00,1
2019-09-20 16:08:00,1
2019-09-20 18:04:00,1
2019-09-21 13:23:00,1
2019-09-23 06:03:00,1
2019-09-26 05:12:00,1
2019-09-26 08:35:00,1
2019-09-29 22:33:00,1
2019-10-02 07:22:00,1
2019-10-03 20:21:00,1
2019-10-06 13:32:00,1
2019-10-08 03:49:00,1
2019-10-09 17:26:00,1
2019-10-12 10:43:00,1
2019-10-17 13:11:00,1
2019-10-21 11:05:00,1
2019-10-21 15:06:00,1
2019-10-23 00:05:00,1
2019-10-23 11:55:00,1
2019-10-24 15:04:00,1
2019-10-24 15:23:00,1
2019-10-24 17:19:00,1
2019-10-26 05:57:00,1
2019-11-02 00:22:00,1
2019-11-04 14:04:00,1
2019-11-08 21:17:00,1
2019-11-09 16:44:00,1
2019-11-13 09:26:00,1
2019-11-13 19:04:00,1
2019-11-13 19:19:00,1
2019-11-13 20:20:00,1
2019-11-15 02:57:00,1
2019-11-16 13:10:00,1
2019-11-18 18:45:00,1
2019-11-19 12:23:00,1
2019-11-19 19:24:00,1
2019-11-22 08:59:00,1
2019-11-27 12:56:00,1
2019-11-30 15:24:00,1
2019-12-01 00:32:00,1
2019-12-05 00:17:00,1
2019-12-05 01:08:00,1
2019-12-05 03:02:00,1
2019-12-05 11:04:00,2
2019-12-06 22:10:00,1
2019-12-12 00:51:00,1
2019-12-12 10:54:00,1
2019-12-13 10:32:00,1
2019-12-13 13:52:00,1
2019-12-18 10:58:00,1
2019-12-22 14:09:00,1
2019-12-23 08:57:00,1
2019-12-25 05:10:00,1
2019-12-27 13:19:00,1
2019-12-29 05:32:00,1
2019-12-30 07:01:00,1
