8,"SELECT ra, dec FROM specObj WHERE ra BETWEEN # AND # AND dec > = # AND dec < #"
2019-04-26 17:13:00,1
2019-10-08 20:50:00,1
2019-10-08 20:51:00,2
2019-10-08 20:52:00,1
2019-11-26 04:59:00,1
2019-11-29 10:38:00,2
